# in Mpc/h Units 
# D1 = 0.0778613 
# k P N P(z=0)
0.00628319 110.951 6 18301.6
0.00888577 133.827 12 22074.9
0.0108828 144.943 8 23908.5
0.0125664 151.023 6 24911.5
0.0140496 154.039 24 25409
0.0153906 155.552 24 25658.5
0.0177715 154.545 12 25492.5
0.0188496 153.61 30 25338.3
0.0198692 152.098 24 25088.8
0.020839 149.788 24 24707.8
0.0217656 147.37 8 24308.9
0.0226543 145.307 24 23968.7
0.0235095 142.92 48 23574.8
0.0251327 138.768 6 22890
0.0259062 135.408 48 22335.8
0.0266573 132.912 36 21924
0.0273878 130.591 24 21541.1
0.0280993 128.63 24 21217.8
0.0287932 126.299 48 20833.2
0.0294708 123.59 24 20386.4
0.0307812 118.465 24 19541
0.0314159 116.107 30 19152
0.0320381 114.617 72 18906.2
0.0326484 113.175 32 18668.4
0.033836 108.681 72 17927.1
0.0344144 107.002 48 17650.1
0.0355431 103.861 12 17132
0.0360942 102.217 48 16860.8
0.036637 100.583 48 16591.3
0.0371718 99.2207 48 16366.6
0.0376991 97.4051 30 16067.1
0.0382191 97.0074 24 16001.5
0.0387322 94.9303 72 15658.9
0.0397384 92.1605 24 15202
0.040232 91.2728 96 15055.6
0.0407197 89.9184 48 14832.2
0.0412016 89.3003 24 14730.2
0.0416779 88.2291 24 14553.5
0.0421489 86.5221 72 14271.9
0.0426146 85.4755 48 14099.3
0.0435312 85.6548 8 14128.9
0.0439823 83.8413 54 13829.7
0.0444288 82.495 84 13607.7
0.0448709 81.6429 48 13467.1
0.0453087 80.8685 24 13339.4
0.0457423 80.0325 72 13201.5
0.0461718 79.6602 96 13140.1
0.0470191 77.9743 48 12862
0.047437 77.0263 48 12705.6
0.0478513 77.373 24 12762.8
0.0482621 76.2112 72 12571.1
0.0490732 75.4225 72 12441
0.0494739 74.4374 96 12278.6
0.0502655 74.3726 6 12267.9
0.0506567 73.6428 96 12147.5
0.0510448 72.7605 96 12001.9
0.0514301 71.8374 24 11849.7
0.0518125 72.3398 48 11932.6
0.0521921 71.7172 96 11829.9
0.0525689 71.3742 48 11773.3
0.0533146 70.3416 36 11602.9
0.0536836 70.4581 48 11622.2
0.05405 69.3056 120 11432.1
0.054414 69.9461 56 11537.7
0.0547755 68.8121 24 11350.7
0.0551347 68.5094 96 11300.7
0.0554916 68.2382 48 11256
0.0561985 68.2677 24 11260.9
0.0565487 67.4535 102 11126.5
0.0568967 66.9838 48 11049.1
0.0572425 66.7359 72 11008.2
0.0575863 66.3613 48 10946.4
0.0579281 66.8109 48 11020.6
0.0582679 65.7249 120 10841.4
0.0589415 65.5942 24 10819.9
0.0592755 65.6207 144 10824.2
0.0596075 64.934 120 10711
0.0599378 64.505 48 10640.2
0.0605928 64.5411 48 10646.2
0.0609177 64.0912 96 10571.9
0.0615624 63.7989 24 10523.7
0.0618822 63.7253 48 10511.6
0.0622004 63.8137 108 10526.2
0.0625169 63.3064 72 10442.5
0.0628319 63.1026 30 10408.9
0.0631452 62.647 168 10333.7
0.0634571 62.279 48 10273
0.0640762 61.8912 72 10209
0.0643835 62.0156 96 10229.6
0.0646894 62.0956 72 10242.8
0.0649938 61.51 72 10146.2
0.0652968 60.5683 32 9990.84
0.0655984 60.7747 72 10024.9
0.0658986 60.7016 144 10012.8
0.0667912 59.2937 96 9780.58
0.0670861 59.1505 96 9756.96
0.0673797 59.4824 48 9811.72
0.067672 59.5945 72 9830.2
0.067963 59.1864 120 9762.88
0.0682529 58.4873 72 9647.57
0.0688288 58.9069 48 9716.78
0.069115 58.3994 78 9633.07
0.0694001 57.3683 120 9462.99
0.0696839 58.3242 48 9620.66
