# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.00628319 5.312e-13 12 5.312e-13
0.00888577 3.71748e-13 24 3.71748e-13
0.0108828 2.97382e-14 16 2.97382e-14
0.0125664 4.32964e-12 12 4.32964e-12
0.0140496 4.67784e-12 48 4.67784e-12
0.0153906 1.87423e-12 48 1.87423e-12
0.0177715 6.12569e-12 24 6.12569e-12
0.0188496 1.9248e-11 60 1.9248e-11
0.0198692 1.99177e-11 48 1.99177e-11
0.020839 2.66791e-11 48 2.66791e-11
0.0217656 1.39605e-12 16 1.39605e-12
0.0226543 3.29507e-11 48 3.29507e-11
0.0235095 1.96073e-11 96 1.96073e-11
0.0251327 5.27854e-11 12 5.27854e-11
0.0259062 3.97999e-11 96 3.97999e-11
0.0266573 7.22306e-11 72 7.22306e-11
0.0273878 1.65453e-11 48 1.65453e-11
0.0280993 1.13746e-10 48 1.13746e-10
0.0287932 7.8132e-11 96 7.8132e-11
0.0294708 1.00772e-11 48 1.00772e-11
0.0307812 8.72039e-11 48 8.72039e-11
0.0314159 8.98789e-11 60 8.98789e-11
0.0320381 1.24653e-10 144 1.24653e-10
0.0326484 1.68817e-10 64 1.68817e-10
0.033836 8.57823e-11 144 8.57823e-11
0.0344144 2.13094e-10 96 2.13094e-10
0.0355431 1.30734e-10 24 1.30734e-10
0.0360942 1.4846e-10 96 1.4846e-10
0.036637 6.78803e-11 96 6.78803e-11
0.0371718 1.48235e-10 96 1.48235e-10
0.0376991 8.12602e-11 60 8.12602e-11
0.0382191 3.53278e-10 48 3.53278e-10
0.0387322 1.74306e-10 144 1.74306e-10
0.0397384 2.57616e-10 48 2.57616e-10
0.040232 4.13747e-10 192 4.13747e-10
0.0407197 2.09287e-10 96 2.09287e-10
0.0412016 7.02974e-11 48 7.02974e-11
0.0416779 4.07871e-10 48 4.07871e-10
0.0421489 2.63222e-10 144 2.63222e-10
0.0426146 4.51858e-10 96 4.51858e-10
0.0435312 1.55223e-11 16 1.55223e-11
0.0439823 3.36363e-10 108 3.36363e-10
0.0444288 3.7621e-10 168 3.7621e-10
0.0448709 6.06832e-10 96 6.06832e-10
0.0453087 5.12115e-10 48 5.12115e-10
0.0457423 4.5823e-10 144 4.5823e-10
0.0461718 6.44668e-10 192 6.44668e-10
0.0470191 3.44557e-10 96 3.44557e-10
0.047437 3.90878e-10 96 3.90878e-10
0.0478513 7.87767e-10 48 7.87767e-10
0.0482621 6.12378e-10 144 6.12378e-10
0.0490732 2.76208e-10 144 2.76208e-10
0.0494739 5.09418e-10 192 5.09418e-10
0.0502655 1.03973e-09 12 1.03973e-09
0.0506567 7.80165e-10 192 7.80165e-10
0.0510448 7.88891e-10 192 7.88891e-10
0.0514301 6.46786e-10 48 6.46786e-10
0.0518125 8.44966e-10 96 8.44966e-10
0.0521921 9.09295e-10 192 9.09295e-10
0.0525689 2.55393e-10 96 2.55393e-10
0.0533146 1.4601e-09 72 1.4601e-09
0.0536836 1.03578e-09 96 1.03578e-09
0.05405 1.00048e-09 240 1.00048e-09
0.054414 4.55019e-10 112 4.55019e-10
0.0547755 3.11394e-10 48 3.11394e-10
