# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.0523599 9.09888e-15 12 9.09888e-15
0.074048 1.33623e-14 24 1.33623e-14
0.09069 1.79223e-15 16 1.79223e-15
0.10472 4.28496e-14 12 4.28496e-14
0.11708 1.3734e-13 48 1.3734e-13
0.128255 1.19159e-13 48 1.19159e-13
0.148096 9.02e-14 24 9.02e-14
0.15708 2.39901e-13 60 2.39901e-13
0.165576 7.01192e-13 48 7.01192e-13
0.173658 6.52845e-13 48 6.52845e-13
0.18138 4.98793e-14 16 4.98793e-14
0.188786 3.33187e-13 48 3.33187e-13
0.195913 3.24468e-13 96 3.24468e-13
0.20944 1.45606e-12 12 1.45606e-12
0.215885 1.44678e-12 96 1.44678e-12
0.222144 2.34193e-12 72 2.34193e-12
0.228231 1.08977e-12 48 1.08977e-12
0.23416 2.7442e-12 48 2.7442e-12
0.239943 2.54134e-12 96 2.54134e-12
0.24559 4.03981e-13 48 4.03981e-13
0.25651 1.87354e-12 48 1.87354e-12
0.261799 1.66478e-12 60 1.66478e-12
0.266984 2.09617e-12 144 2.09617e-12
0.27207 4.76866e-12 64 4.76866e-12
0.281967 2.67251e-12 144 2.67251e-12
0.286787 5.62769e-12 96 5.62769e-12
0.296192 1.00543e-12 24 1.00543e-12
0.300785 3.28518e-12 96 3.28518e-12
0.305308 2.15209e-12 96 2.15209e-12
0.309765 4.16094e-12 96 4.16094e-12
0.314159 5.149e-12 60 5.149e-12
0.318493 1.30032e-11 48 1.30032e-11
0.322768 6.51162e-12 144 6.51162e-12
0.331153 4.58664e-12 48 4.58664e-12
0.335267 7.79104e-12 192 7.79104e-12
0.339331 3.75094e-12 96 3.75094e-12
0.343347 3.24734e-12 48 3.24734e-12
0.347316 9.65833e-12 48 9.65833e-12
0.351241 4.49963e-12 144 4.49963e-12
0.355122 1.21255e-11 96 1.21255e-11
0.36276 4.96599e-13 16 4.96599e-13
0.366519 1.02647e-11 108 1.02647e-11
0.37024 1.10577e-11 168 1.10577e-11
0.373924 1.30991e-11 96 1.30991e-11
0.377572 7.45023e-12 48 7.45023e-12
0.381186 1.82855e-11 144 1.82855e-11
0.384765 1.27879e-11 192 1.27879e-11
0.391825 7.5378e-12 96 7.5378e-12
0.395308 1.62332e-11 96 1.62332e-11
0.398761 1.79891e-11 48 1.79891e-11
0.402184 1.90297e-11 144 1.90297e-11
0.408944 7.87397e-12 144 7.87397e-12
0.412282 1.53794e-11 192 1.53794e-11
0.418879 6.02511e-11 12 6.02511e-11
0.422139 1.70762e-11 192 1.70762e-11
0.425374 1.93516e-11 192 1.93516e-11
0.428584 2.07824e-11 48 2.07824e-11
0.431771 1.73785e-11 96 1.73785e-11
0.434934 4.33302e-11 192 4.33302e-11
0.438074 6.05288e-12 96 6.05288e-12
0.444288 2.51301e-11 72 2.51301e-11
0.447363 1.83229e-11 96 1.83229e-11
0.450417 2.19009e-11 240 2.19009e-11
0.45345 1.39803e-11 112 1.39803e-11
0.456463 1.58789e-11 48 1.58789e-11
0.459456 2.57762e-11 192 2.57762e-11
0.46243 1.4973e-11 96 1.4973e-11
0.468321 4.33306e-11 48 4.33306e-11
0.471239 1.95079e-11 204 1.95079e-11
0.475868 3.01405e-11 240 3.01405e-11
0.479886 4.98231e-11 96 4.98231e-11
0.482734 3.43148e-11 96 3.43148e-11
0.485566 3.16932e-11 240 3.16932e-11
0.491179 6.62349e-12 48 6.62349e-12
0.493962 3.82959e-11 288 3.82959e-11
0.497516 4.46978e-11 336 4.46978e-11
0.50494 3.99484e-11 96 3.99484e-11
0.507648 3.48683e-11 192 3.48683e-11
0.51302 2.91192e-11 48 2.91192e-11
0.515685 5.63704e-11 96 5.63704e-11
0.518336 4.77884e-11 216 4.77884e-11
0.520974 2.35948e-11 144 2.35948e-11
0.525815 5.58683e-11 396 5.58683e-11
0.528809 7.64562e-11 96 7.64562e-11
0.533968 4.27972e-11 144 4.27972e-11
0.536529 6.08584e-11 192 6.08584e-11
0.539078 5.43023e-11 144 5.43023e-11
0.542392 6.15313e-11 208 6.15313e-11
0.546653 5.07603e-11 144 5.07603e-11
0.549155 4.75706e-11 288 4.75706e-11
0.557822 4.60602e-11 384 4.60602e-11
0.561497 4.13095e-11 96 4.13095e-11
0.565449 5.61493e-11 384 5.61493e-11
0.568774 8.74615e-11 144 8.74615e-11
0.573574 7.9644e-11 96 7.9644e-11
0.575959 3.36598e-11 156 3.36598e-11
0.57901 6.54439e-11 336 6.54439e-11
0.585401 8.24716e-11 288 8.24716e-11
0.587738 9.52424e-11 288 9.52424e-11
0.592384 2.69132e-11 24 2.69132e-11
0.595269 6.68595e-11 384 6.68595e-11
0.599938 6.92205e-11 336 6.92205e-11
0.603844 3.3762e-11 96 3.3762e-11
0.606109 8.10422e-11 336 8.10422e-11
0.61211 7.5463e-11 288 7.5463e-11
0.616043 8.78881e-11 336 8.78881e-11
0.621003 1.0415e-10 288 1.0415e-10
0.62394 4.0933e-11 96 4.0933e-11
0.628319 4.10938e-11 60 4.10938e-11
0.631943 1.13238e-10 576 1.13238e-10
0.635476 1.14703e-10 160 1.14703e-10
0.640026 1.03286e-10 576 1.03286e-10
0.645536 1.50196e-10 144 1.50196e-10
0.648501 1.24021e-10 480 1.24021e-10
0.651875 7.13952e-11 192 7.13952e-11
0.657259 1.38962e-10 336 1.38962e-10
0.664143 1.38854e-10 432 1.38854e-10
0.666806 8.87698e-11 264 8.87698e-11
0.671554 9.78686e-11 384 9.78686e-11
0.67461 6.09497e-11 240 6.09497e-11
0.67991 1.80969e-10 252 1.80969e-10
0.683858 1.32022e-10 576 1.32022e-10
0.689604 1.49609e-10 624 1.49609e-10
0.694632 1.2305e-10 48 1.2305e-10
0.699101 1.71892e-10 528 1.71892e-10
0.703699 9.13504e-11 384 9.13504e-11
0.707341 1.53805e-10 384 1.53805e-10
0.712995 1.48129e-10 672 1.48129e-10
0.716011 1.76092e-10 96 1.76092e-10
0.72021 1.58038e-10 480 1.58038e-10
0.728882 1.67224e-10 592 1.67224e-10
0.73184 1.73034e-10 300 1.73034e-10
0.735837 1.8454e-10 480 1.8454e-10
0.741648 1.77094e-10 456 1.77094e-10
0.745808 1.69788e-10 432 1.69788e-10
0.750984 1.86993e-10 672 1.86993e-10
0.757319 1.76178e-10 720 1.76178e-10
0.761471 1.2882e-10 288 1.2882e-10
0.764935 2.04301e-10 336 2.04301e-10
0.771444 1.77071e-10 624 1.77071e-10
