# in Mpc/h Units 
# D1 = 0.119224 
# k P N P(z=0)
0.0523599 73.128 6 5144.62
0.074048 122.105 12 8590.22
0.09069 133.318 8 9379.02
0.10472 19.7482 6 1389.31
0.11708 80.452 24 5659.87
0.128255 45.8457 24 3225.29
0.148096 88.5454 12 6229.25
0.15708 36.5683 30 2572.61
0.165576 41.3547 24 2909.34
0.173658 38.9365 24 2739.22
0.18138 15.3345 8 1078.79
0.188786 38.4833 24 2707.34
0.195913 30.6694 48 2157.62
0.20944 11.7536 6 826.878
0.215885 22.6192 48 1591.28
0.222144 21.6246 36 1521.31
0.228231 11.7702 24 828.047
0.23416 25.6494 24 1804.46
0.239943 16.8026 48 1182.08
0.24559 22.4967 24 1582.66
0.25651 17.3897 24 1223.38
0.261799 10.9534 30 770.58
0.266984 13.8077 72 971.387
0.27207 22.8926 32 1610.52
0.281967 14.3658 72 1010.65
0.286787 16.8424 48 1184.88
0.296192 10.2486 12 720.998
0.300785 16.0123 48 1126.48
0.305308 13.1292 48 923.654
0.309765 11.6677 48 820.831
0.314159 8.89177 30 625.544
0.318493 12.9922 24 914.01
0.322768 11.7282 72 825.092
0.331153 11.2669 24 792.639
0.335267 9.25693 96 651.234
0.339331 12.8385 48 903.198
0.343347 10.926 24 768.653
0.347316 10.8534 24 763.547
0.351241 9.28373 72 653.119
0.355122 7.33746 48 516.198
0.36276 15.0406 8 1058.12
0.366519 12.1854 54 857.257
0.37024 8.69494 84 611.697
0.373924 8.30808 48 584.481
0.377572 8.67101 24 610.014
0.381186 6.95774 72 489.484
0.384765 9.87691 96 694.85
0.391825 7.45863 48 524.722
0.395308 7.07362 48 497.636
0.398761 7.54 24 530.446
0.402184 6.33723 72 445.83
0.408944 6.40793 72 450.804
0.412282 6.97458 96 490.668
0.418879 3.20564 6 225.52
0.422139 5.44007 96 382.714
0.425374 7.04991 96 495.968
0.428584 4.6453 24 326.801
0.431771 4.64325 48 326.657
0.434934 6.08742 96 428.256
0.438074 6.16595 48 433.78
0.444288 6.95136 36 489.035
0.447363 3.67855 48 258.789
0.450417 5.55476 120 390.783
0.45345 4.13022 56 290.565
0.456463 4.82814 24 339.665
0.459456 5.03585 96 354.277
0.46243 6.433 48 452.567
0.468321 2.82393 24 198.666
0.471239 4.30255 102 302.688
0.475868 4.29844 120 302.399
