# in Mpc/h Units 
# D1 = 0.0184132 
# k P N P(z=0)
0.020944 8.3572 6 24649.3
0.0296192 6.86485 12 20247.6
0.036276 5.67133 8 16727.4
0.0418879 4.87692 6 14384.3
0.0468321 4.3698 24 12888.6
0.051302 4.06071 24 11976.9
0.0592384 3.64689 12 10756.4
0.0628319 3.51919 30 10379.7
0.0662306 3.39169 24 10003.7
0.0694632 3.24553 24 9572.57
0.072552 3.10001 8 9143.36
0.0755145 2.95796 24 8724.4
0.0783651 2.80084 48 8260.99
0.0837758 2.54741 6 7513.48
0.0863541 2.37321 48 6999.7
0.0888577 2.2477 36 6629.51
0.0912926 2.1263 24 6271.43
0.0936642 2.03358 24 5997.98
0.0959772 1.93436 48 5705.31
0.0982358 1.84911 24 5453.87
0.102604 1.70528 24 5029.65
0.10472 1.63958 30 4835.88
0.106794 1.6087 72 4744.79
0.108828 1.58282 32 4668.47
0.112787 1.51491 72 4468.16
0.114715 1.48845 48 4390.14
0.118477 1.45505 12 4291.62
0.120314 1.43993 48 4247.02
0.122123 1.41882 48 4184.74
0.123906 1.4011 48 4132.49
0.125664 1.36991 30 4040.5
0.127397 1.37866 24 4066.31
0.129107 1.33907 72 3949.54
0.132461 1.29512 24 3819.91
0.134107 1.26994 96 3745.65
0.135732 1.24739 48 3679.12
0.137339 1.22873 24 3624.08
0.138926 1.20436 24 3552.2
0.140496 1.16572 72 3438.25
0.142049 1.1336 48 3343.5
0.145104 1.12047 8 3304.79
0.146608 1.079 54 3182.48
0.148632 1.03651 132 3057.16
0.151029 0.99299 24 2928.79
0.152474 0.968017 72 2855.13
0.153906 0.95823 96 2826.27
0.15673 0.908107 48 2678.43
0.158123 0.887183 48 2616.71
0.160531 0.865662 96 2553.24
0.163577 0.837563 72 2470.36
0.164913 0.822277 96 2425.27
0.167552 0.816989 6 2409.68
0.169502 0.789718 192 2329.24
0.172283 0.773419 72 2281.17
0.173974 0.762917 96 2250.19
0.17523 0.754461 48 2225.25
0.178418 0.734321 84 2165.85
0.180167 0.724121 120 2135.77
0.181741 0.724928 80 2138.15
0.184179 0.708323 144 2089.17
0.187328 0.70605 24 2082.47
0.188867 0.687987 150 2029.19
0.191267 0.676933 120 1996.59
0.193903 0.663563 168 1957.15
0.196472 0.652033 24 1923.15
0.198088 0.644735 264 1901.62
0.199793 0.625934 48 1846.17
0.202698 0.614792 144 1813.31
0.205919 0.598377 72 1764.89
0.207757 0.587089 180 1731.6
0.21056 0.564797 246 1665.85
0.213587 0.546105 72 1610.72
0.215528 0.537646 240 1585.77
0.218352 0.516253 104 1522.67
0.219662 0.509681 144 1503.29
0.223423 0.485497 240 1431.96
0.22618 0.479295 192 1413.66
0.228278 0.468604 120 1382.13
0.231217 0.456383 246 1346.08
0.234628 0.446363 288 1316.53
0.237806 0.438649 156 1293.78
0.239714 0.431137 216 1271.62
0.242607 0.424246 264 1251.3
0.245954 0.417452 264 1231.26
0.248695 0.40709 192 1200.7
0.252641 0.398473 318 1175.28
0.255182 0.394163 248 1162.57
0.257969 0.387078 336 1141.67
0.260901 0.378772 264 1117.18
0.263594 0.377433 120 1113.23
0.266618 0.364351 420 1074.64
0.269843 0.356262 264 1050.78
0.273272 0.344098 366 1014.91
0.275985 0.337346 336 994.99
0.280415 0.326603 456 963.304
0.283902 0.313943 384 925.964
0.287082 0.30703 432 905.575
0.291553 0.297038 296 876.103
0.29372 0.293983 390 867.092
0.297469 0.285416 444 841.824
0.301416 0.280333 600 826.831
0.304904 0.273501 408 806.682
0.308899 0.266002 408 784.565
0.311881 0.262972 384 775.626
0.316099 0.257392 774 759.168
0.320152 0.251105 432 740.625
0.323319 0.246212 456 726.193
0.327249 0.242033 620 713.867
0.331125 0.235112 600 693.455
0.335425 0.22756 582 671.179
0.339086 0.224265 576 661.461
0.342966 0.217489 768 641.476
0.347538 0.213742 744 630.423
0.352007 0.206489 648 609.031
0.356145 0.198733 666 586.157
0.360285 0.195266 960 575.931
0.365066 0.189314 752 558.375
0.368573 0.188347 552 555.522
0.372864 0.183609 984 541.547
0.378105 0.178495 1062 526.464
0.382338 0.175448 648 517.478
0.386795 0.170791 1140 503.742
0.391574 0.166107 864 489.925
0.396297 0.16226 1062 478.581
0.401127 0.158379 968 467.133
0.405513 0.153624 1248 453.109
0.410547 0.150471 864 443.808
0.41537 0.146131 1404 431.008
0.420644 0.143165 1086 422.259
0.425289 0.139368 1272 411.06
0.430681 0.135099 1392 398.47
0.436011 0.13282 1376 391.749
0.440941 0.129697 1110 382.535
0.446174 0.126553 1740 373.264
0.45185 0.123233 1584 363.47
0.457529 0.119622 1368 352.821
0.462665 0.117379 1662 346.206
0.467842 0.114756 1536 338.468
0.473473 0.111549 1820 329.009
0.479577 0.108146 1902 318.972
0.485197 0.105735 1704 311.86
0.490809 0.103341 2040 304.799
0.497084 0.100167 2088 295.438
0.503027 0.0973126 1842 287.02
0.508843 0.0946882 2456 279.279
0.51514 0.0926458 1968 273.255
0.521205 0.0906843 2382 267.47
0.527271 0.0881247 2352 259.921
0.533802 0.0858553 2604 253.227
0.539882 0.0832847 2280 245.645
0.546709 0.0818152 2990 241.311
0.553468 0.0793927 2880 234.166
0.559954 0.0771665 2508 227.6
0.566543 0.0754277 3126 222.471
0.573496 0.0734944 3216 216.769
0.580523 0.071386 3032 210.55
0.587241 0.0700273 3294 206.543
0.594316 0.0678331 3540 200.071
0.601466 0.0657841 3408 194.028
0.609018 0.0642764 4014 189.581
0.61634 0.0630429 3728 185.943
0.623417 0.0611184 3588 180.267
0.630695 0.0596332 4230 175.886
0.638291 0.0576249 4176 169.963
0.645683 0.05623 4158 165.848
0.653416 0.0551058 4652 162.533
0.660988 0.0534405 4584 157.621
0.669506 0.0519362 5454 153.184
0.677708 0.0505101 4884 148.978
0.685505 0.0492757 5000 145.337
0.694 0.0479266 5934 141.358
0.702333 0.0466872 5376 137.702
0.710789 0.0454407 5898 134.026
0.719251 0.0440523 6216 129.931
0.727942 0.0429973 6104 126.819
0.736661 0.0418009 6618 123.29
0.745211 0.0407382 6480 120.156
0.754127 0.0397358 6918 117.199
0.762976 0.0387184 7304 114.198
0.772239 0.037531 7338 110.696
0.781657 0.0366188 8376 108.006
0.791082 0.0355247 7590 104.779
0.800591 0.0346423 8780 102.176
0.810283 0.0336069 8496 99.1222
0.820075 0.0328059 9294 96.7597
0.829801 0.0317691 8828 93.7018
0.839624 0.0310267 9846 91.5121
0.849851 0.0302068 10248 89.0937
0.860395 0.0291657 10626 86.0231
0.870624 0.0284568 10520 83.9323
0.880856 0.0276099 10902 81.4344
0.8914 0.0267887 11796 79.0122
0.902254 0.0261715 11894 77.1919
0.912774 0.0255027 12060 75.2194
0.923682 0.0247497 12942 72.9985
0.934704 0.0240291 13224 70.8729
0.946056 0.0233606 14042 68.9013
0.957461 0.0227516 14400 67.105
0.969088 0.0220295 15054 64.9751
0.980756 0.0215319 15194 63.5075
0.992313 0.0209243 15768 61.7155
1.00427 0.0202116 16626 59.6133
1.0163 0.0197608 17168 58.2836
1.02842 0.0191841 17334 56.5828
1.04065 0.0186134 18564 54.8996
1.05325 0.0182402 19214 53.7987
1.06615 0.0175315 20298 51.7084
1.07882 0.0170135 19800 50.1808
1.09171 0.0166795 21434 49.1956
1.10469 0.0161247 21630 47.5592
1.1179 0.0157391 22976 46.422
1.13133 0.0151762 23370 44.7617
1.14472 0.014791 24240 43.6254
1.15877 0.0143862 26642 42.4316
1.17281 0.0139314 25518 41.0902
1.18671 0.0135637 27498 40.0057
1.20092 0.0131654 27944 38.8308
1.21541 0.0127712 29778 37.6681
1.23005 0.0124119 30158 36.6084
1.24487 0.0120679 32076 35.5937
1.25995 0.0117268 32430 34.5877
1.27496 0.0113962 33602 33.6126
1.29008 0.0110184 34584 32.4985
1.30561 0.0106838 36842 31.5116
1.32148 0.0103769 38070 30.6063
1.33731 0.0100703 38402 29.7019
1.35304 0.00980266 39600 28.9126
1.36931 0.00950898 42786 28.0464
1.38597 0.00921557 43754 27.181
1.40251 0.00894248 44190 26.3755
1.41927 0.0086475 47042 25.5055
1.43629 0.00840521 48000 24.7908
1.45349 0.008234 50210 24.2859
1.47092 0.00792009 51678 23.36
1.48857 0.00769733 54050 22.703
1.50651 0.00747496 56010 22.0471
1.5246 0.00723955 57782 21.3528
1.54296 0.00702266 60306 20.7131
1.5614 0.00683155 61244 20.1494
1.57996 0.00660638 64086 19.4853
1.59904 0.00639719 67706 18.8683
1.61841 0.00622212 69486 18.3519
1.63786 0.00600181 71426 17.7021
1.65727 0.0058448 72882 17.239
1.67716 0.00566243 78230 16.7011
1.69752 0.00547488 80378 16.148
1.71789 0.00531047 82242 15.663
1.73855 0.0051736 86546 15.2594
1.75938 0.00500802 87750 14.771
1.78034 0.00485272 91922 14.3129
1.80163 0.00469634 94890 13.8517
1.82321 0.00454264 99062 13.3984
1.84528 0.00442752 103898 13.0588
1.86742 0.00428166 105090 12.6286
1.88971 0.00414698 109874 12.2314
1.91235 0.00402027 114110 11.8576
1.93516 0.00391489 116850 11.5468
1.95828 0.00378675 122672 11.1689
1.98195 0.00365643 128874 10.7845
2.00592 0.00355007 131714 10.4708
2.02983 0.00342962 134822 10.1155
2.05418 0.00333773 142866 9.84452
2.07887 0.00323073 145514 9.52893
2.10372 0.00314288 151880 9.2698
2.12915 0.00303185 159746 8.94232
2.15486 0.00295163 162858 8.70572
2.18054 0.00285316 167474 8.4153
2.20649 0.00277279 174110 8.17824
2.23302 0.00268285 183336 7.91296
2.25999 0.00259763 189146 7.6616
2.28711 0.00253879 194354 7.48805
2.31452 0.0024555 202496 7.24241
2.3423 0.00238345 209754 7.0299
2.37031 0.00230631 215618 6.80237
2.39862 0.00224642 224600 6.62575
2.42748 0.00218422 235370 6.44227
2.45668 0.00211763 240794 6.24589
2.48608 0.00207342 250560 6.11547
2.5159 0.00201501 259874 5.9432
2.54615 0.00195649 270224 5.77059
2.57673 0.00190487 278570 5.61835
2.60767 0.0018621 290216 5.4922
2.63893 0.00181175 298370 5.34369
2.67053 0.00177481 310928 5.23473
2.70255 0.00173509 321522 5.11757
2.73501 0.0017023 334640 5.02086
2.76784 0.00166866 345302 4.92166
2.80103 0.00163857 358736 4.8329
2.83468 0.00161262 372320 4.75637
2.86869 0.00158995 384386 4.68951
2.90306 0.00156674 398576 4.62105
2.93788 0.00155122 414032 4.57528
2.97314 0.00154515 428570 4.55735
3.00878 0.00152986 443420 4.51226
3.04485 0.00152956 460880 4.51137
3.08141 0.00152417 477608 4.49547
3.11839 0.00153408 494666 4.52471
3.15587 0.00154098 514172 4.54507
3.19377 0.00155298 531200 4.58045
3.23206 0.00158332 549944 4.66995
3.27078 0.00159871 569924 4.71535
3.31006 0.00163801 593642 4.83125
3.34977 0.00168806 610856 4.97886
3.38996 0.00175533 637756 5.1773
3.43072 0.00180935 659240 5.3366
3.47187 0.00188037 681752 5.54609
3.51352 0.00196163 708404 5.78576
3.55566 0.00207152 731720 6.10986
3.59831 0.00218611 761324 6.44787
3.64146 0.00233135 785624 6.87622
3.68509 0.00247054 815932 7.28677
3.72935 0.00268318 848150 7.91393
3.77412 0.00289687 875876 8.54421
3.81939 0.00311618 909872 9.19107
3.86521 0.00340293 940708 10.0368
3.91154 0.00370979 975368 10.9419
3.95847 0.00413773 1012826 12.2041
4.00597 0.00460123 1047892 13.5711
4.05405 0.0050817 1088600 14.9883
4.10276 0.00562317 1127762 16.5853
4.15198 0.00651187 1166140 19.2065
4.20175 0.00725842 1209440 21.4085
4.25218 0.00832007 1255802 24.5397
4.30322 0.00950855 1298860 28.0451
4.35482 0.0109029 1347110 32.1577
4.40705 0.0129733 1395124 38.2642
4.45993 0.0149746 1448666 44.1669
4.51349 0.0176045 1501036 51.9237
4.56763 0.0215223 1552442 63.4791
4.6224 0.0247198 1611310 72.9102
4.67785 0.0325685 1669244 96.0595
4.73396 0.0398045 1729786 117.402
4.79079 0.0482993 1796522 142.457
4.84827 0.0624619 1856476 184.229
4.90642 0.0870553 1928050 256.766
4.96533 0.117862 1998290 347.63
5.02487 0.169334 2065786 499.444
5.0851 0.255447 2145058 753.432
5.14613 0.411346 2224298 1213.25
5.20788 0.767186 2303434 2262.79
5.27036 1.67195 2388202 4931.35
5.33364 34.7097 2478599 102375
5.39744 0.0161203 2508700 47.5463
5.46211 0.00644821 2510380 19.0188
5.52769 0.00604684 2512288 17.8349
5.59404 0.00626647 2497276 18.4827
5.66113 0.00686729 2490536 20.2548
5.72904 0.00768617 2476432 22.6701
5.79779 0.0089196 2464036 26.308
5.86736 0.0105063 2441572 30.9878
5.93771 0.0125523 2420164 37.0226
6.00892 0.0151853 2394628 44.7886
6.08102 0.0186405 2368624 54.9796
6.15399 0.0231638 2332204 68.3207
6.2278 0.0291244 2296528 85.9013
6.30252 0.0372911 2255452 109.989
6.37813 0.0484088 2208364 142.78
6.45461 0.0634443 2156872 187.127
6.53204 0.0846139 2104512 249.566
6.6104 0.114141 2039548 336.654
6.68969 0.160892 1976956 474.544
6.76993 0.224232 1900768 661.363
6.85111 0.334516 1825120 986.644
6.93325 0.488263 1737192 1440.11
7.01639 0.795603 1649440 2346.6
7.10058 1.30811 1549012 3858.21
