# in Mpc/h Units 
# D1 = 0.116273 
# k P N P(z=0)
0.020944 334.009 6 24705.9
0.0296192 274.633 12 20314
0.036276 226.088 8 16723.2
0.0418879 194.132 6 14359.5
0.0468321 173.617 24 12842
0.051302 163.763 24 12113.1
0.0592384 143.279 12 10598
0.0628319 141.105 30 10437.2
0.0662306 136.821 24 10120.4
0.0694632 129.184 24 9555.46
0.072552 122.58 8 9066.94
0.0755145 118.636 24 8775.23
0.0783651 111.412 48 8240.86
0.0837758 105.72 6 7819.86
0.0863541 94.4785 48 6988.36
0.0888577 89.5028 36 6620.32
0.0912926 85.2556 24 6306.16
0.0936642 82.9448 24 6135.24
0.0959772 79.7028 48 5895.44
0.0982358 74.3534 24 5499.75
0.102604 65.9846 24 4880.73
0.10472 62.796 30 4644.88
0.106794 63.5352 72 4699.56
0.108828 65.0724 32 4813.25
0.112787 59.2291 72 4381.04
0.114715 58.3293 48 4314.49
0.118477 58.8168 12 4350.55
0.120314 57.4455 48 4249.11
0.122123 56.8491 48 4205
0.123906 56.2319 48 4159.35
0.125664 54.1202 30 4003.15
0.127397 56.3672 24 4169.35
0.129107 53.4673 72 3954.86
0.132461 51.0246 24 3774.18
0.134107 50.5225 96 3737.03
0.135732 49.711 48 3677.01
0.137339 49.8503 24 3687.32
0.138926 48.7652 24 3607.05
0.140496 45.4627 72 3362.77
0.142049 44.179 48 3267.82
0.145104 49.1338 8 3634.31
0.146608 44.4485 54 3287.75
0.148632 41.0818 132 3038.73
0.151029 39.3626 24 2911.56
0.152474 38.2766 72 2831.24
0.153906 38.7265 96 2864.51
0.15673 36.1835 48 2676.41
0.158123 34.5152 48 2553.01
0.160531 34.6159 96 2560.46
0.163577 34.1259 72 2524.21
0.164913 32.3714 96 2394.44
0.167552 33.8413 6 2503.17
0.169502 32.1721 192 2379.69
0.172283 31.4407 72 2325.6
0.173974 30.6677 96 2268.42
0.17523 30.4438 48 2251.86
0.178418 29.5869 84 2188.48
0.180167 28.266 120 2090.77
0.181741 29.769 80 2201.95
0.184179 27.7659 144 2053.78
0.187328 29.2451 24 2163.19
0.188867 27.197 150 2011.7
0.191267 26.3639 120 1950.08
0.193903 26.2825 168 1944.06
0.196472 26.3563 24 1949.51
0.198088 25.7931 264 1907.86
0.199793 24.3883 48 1803.95
0.202698 24.5105 144 1812.99
0.205919 24.1969 72 1789.79
0.207757 24.3224 180 1799.08
0.21056 22.7083 246 1679.68
0.213587 21.7883 72 1611.63
0.215528 22.2774 240 1647.81
0.218352 20.3113 104 1502.38
0.219662 20.608 144 1524.32
0.223423 18.7183 240 1384.55
0.22618 19.5977 192 1449.6
0.228278 18.683 120 1381.94
0.231217 18.2295 246 1348.39
0.234628 17.8296 288 1318.82
0.237806 17.9453 156 1327.37
0.239714 17.3392 216 1282.54
0.242607 17.5648 264 1299.23
0.245954 16.9768 264 1255.73
0.248695 16.3042 192 1205.99
0.252641 15.7321 318 1163.67
0.255182 15.5248 248 1148.34
0.257969 15.6733 336 1159.32
0.260901 15.176 264 1122.53
0.263594 15.4392 120 1142
0.266618 14.7961 420 1094.43
0.269843 14.5371 264 1075.28
0.273272 13.8067 366 1021.25
0.275985 13.6177 336 1007.27
0.280415 13.5657 456 1003.42
0.283902 12.4795 384 923.082
0.287082 12.5093 432 925.288
0.291553 11.9812 296 886.222
0.29372 12.0027 390 887.815
0.297469 11.5161 444 851.821
0.301416 11.4218 600 844.845
0.304904 11.0784 408 819.445
0.308899 10.6543 408 788.074
0.311881 10.6562 384 788.216
0.316099 10.457 774 773.48
0.320152 10.226 432 756.391
0.323319 9.83546 456 727.507
0.327249 9.87907 620 730.732
0.331125 9.38467 600 694.163
0.335425 9.08288 582 671.84
0.339086 9.10294 576 673.323
0.342966 8.78205 768 649.588
0.347538 8.92761 744 660.355
0.352007 8.50073 648 628.779
0.356145 7.89 666 583.605
0.360285 7.86165 960 581.508
0.365066 7.54559 752 558.13
0.368573 7.83863 552 579.806
0.372864 7.59399 984 561.71
0.378105 7.19061 1062 531.873
0.382338 7.25072 648 536.319
0.386795 6.91796 1140 511.705
0.391574 6.74504 864 498.915
0.396297 6.53795 1062 483.598
0.401127 6.57153 968 486.081
0.405513 6.08018 1248 449.737
0.410547 6.13379 864 453.702
0.41537 5.89356 1404 435.933
0.420644 5.81879 1086 430.403
0.425289 5.67442 1272 419.724
0.430681 5.46777 1392 404.439
0.436011 5.52524 1376 408.689
0.440941 5.22826 1110 386.723
0.446174 5.11777 1740 378.55
0.45185 5.06174 1584 374.405
0.457529 4.90372 1368 362.717
0.462665 4.82854 1662 357.156
0.467842 4.71396 1536 348.681
0.473473 4.591 1820 339.586
0.479577 4.3855 1902 324.385
0.485197 4.3377 1704 320.85
0.490809 4.28656 2040 317.067
0.497084 4.03026 2088 298.109
0.503027 3.95283 1842 292.382
0.508843 3.81071 2456 281.87
0.51514 3.82222 1968 282.721
0.521205 3.71501 2382 274.791
0.527271 3.58316 2352 265.039
0.533802 3.49409 2604 258.45
0.539882 3.39685 2280 251.257
0.546709 3.41187 2990 252.368
0.553468 3.23472 2880 239.265
0.559954 3.15322 2508 233.236
0.566543 3.14389 3126 232.546
0.573496 3.06561 3216 226.757
0.580523 2.92954 3032 216.692
0.587241 2.89784 3294 214.347
0.594316 2.80973 3540 207.829
0.601466 2.66788 3408 197.337
0.609018 2.69814 4014 199.575
0.61634 2.60758 3728 192.877
0.623417 2.55824 3588 189.227
0.630695 2.43627 4230 180.205
0.638291 2.36012 4176 174.573
0.645683 2.31548 4158 171.271
0.653416 2.29423 4652 169.699
0.660988 2.21805 4584 164.064
0.669506 2.13276 5454 157.756
0.677708 2.0866 4884 154.341
0.685505 2.02926 5000 150.1
0.694 2.01409 5934 148.978
0.702333 1.94071 5376 143.55
0.710789 1.91364 5898 141.547
0.719251 1.83722 6216 135.895
0.727942 1.76554 6104 130.593
0.736661 1.72776 6618 127.799
0.745211 1.72074 6480 127.279
0.754127 1.67937 6918 124.219
0.762976 1.6214 7304 119.931
0.772239 1.56015 7338 115.401
0.781657 1.55418 8376 114.959
0.791082 1.49759 7590 110.773
0.800591 1.452 8780 107.401
0.810283 1.41913 8496 104.97
0.820075 1.39743 9294 103.365
0.829801 1.32295 8828 97.8558
0.839624 1.31691 9846 97.4086
0.849851 1.28012 10248 94.6879
0.860395 1.23199 10626 91.1276
0.870624 1.2108 10520 89.5599
0.880856 1.17409 10902 86.8445
0.8914 1.13489 11796 83.9456
0.902254 1.10008 11894 81.3707
0.912774 1.08726 12060 80.4224
0.923682 1.04414 12942 77.233
0.934704 1.02675 13224 75.9465
0.946056 0.997433 14042 73.7779
0.957461 0.971541 14400 71.8626
0.969088 0.937093 15054 69.3147
0.980756 0.928881 15194 68.7072
0.992313 0.897757 15768 66.405
1.00427 0.855892 16626 63.3084
1.0163 0.843977 17168 62.4271
1.02842 0.82125 17334 60.746
1.04065 0.803073 18564 59.4015
1.05325 0.798879 19214 59.0912
1.06615 0.750722 20298 55.5292
1.07882 0.73348 19800 54.2538
1.09171 0.723074 21434 53.4841
1.10469 0.700254 21630 51.7962
1.1179 0.688106 22976 50.8977
1.13133 0.659033 23370 48.7472
1.14472 0.64184 24240 47.4755
1.15877 0.628257 26642 46.4707
1.17281 0.619965 25518 45.8574
1.18671 0.597819 27498 44.2193
1.20092 0.583293 27944 43.1448
1.21541 0.565741 29778 41.8466
1.23005 0.548636 30158 40.5814
1.24487 0.534474 32076 39.5338
1.25995 0.519023 32430 38.391
1.27496 0.510683 33602 37.7741
1.29008 0.488692 34584 36.1474
1.30561 0.475568 36842 35.1767
1.32148 0.47006 38070 34.7693
1.33731 0.451004 38402 33.3598
1.35304 0.441197 39600 32.6343
1.36931 0.430395 42786 31.8354
1.38597 0.416125 43754 30.7798
1.40251 0.405737 44190 30.0114
1.41927 0.389305 47042 28.796
1.43629 0.382324 48000 28.2796
1.45349 0.377271 50210 27.9059
1.47092 0.360277 51678 26.6489
1.48857 0.356983 54050 26.4052
1.50651 0.342181 56010 25.3104
1.5246 0.332826 57782 24.6184
1.54296 0.326651 60306 24.1616
1.5614 0.315933 61244 23.3688
1.57996 0.307495 64086 22.7447
1.59904 0.297705 67706 22.0205
1.61841 0.290344 69486 21.4761
1.63786 0.27892 71426 20.6311
1.65727 0.275961 72882 20.4122
1.67716 0.265261 78230 19.6207
1.69752 0.258779 80378 19.1413
1.71789 0.25282 82242 18.7005
1.73855 0.245334 86546 18.1468
1.75938 0.239349 87750 17.7041
1.78034 0.232188 91922 17.1745
1.80163 0.225417 94890 16.6736
1.82321 0.218256 99062 16.1439
1.84528 0.212605 103898 15.7259
1.86742 0.207362 105090 15.3381
1.88971 0.203332 109874 15.04
1.91235 0.19579 114110 14.4821
1.93516 0.191144 116850 14.1385
1.95828 0.184477 122672 13.6454
1.98195 0.179163 128874 13.2522
2.00592 0.175053 131714 12.9483
2.02983 0.169282 134822 12.5214
2.05418 0.164627 142866 12.1771
2.07887 0.160192 145514 11.849
2.10372 0.155756 151880 11.5209
2.12915 0.150923 159746 11.1634
2.15486 0.146838 162858 10.8613
2.18054 0.143594 167474 10.6213
2.20649 0.13854 174110 10.2475
2.23302 0.13487 183336 9.97602
2.25999 0.130848 189146 9.6785
2.28711 0.126912 194354 9.38743
2.31452 0.123066 202496 9.10295
2.3423 0.120252 209754 8.89477
2.37031 0.116181 215618 8.59367
2.39862 0.112794 224600 8.34314
2.42748 0.109749 235370 8.11792
2.45668 0.106433 240794 7.87264
2.48608 0.103547 250560 7.65913
2.5159 0.100157 259874 7.40835
2.54615 0.0973305 270224 7.19932
2.57673 0.0943833 278570 6.98132
2.60767 0.0918632 290216 6.79491
2.63893 0.0892962 298370 6.60504
2.67053 0.0867238 310928 6.41477
2.70255 0.0839357 321522 6.20854
2.73501 0.0815538 334640 6.03235
2.76784 0.0790098 345302 5.84418
2.80103 0.0766572 358736 5.67016
2.83468 0.0747082 372320 5.526
2.86869 0.0728356 384386 5.38748
2.90306 0.0704134 398576 5.20832
2.93788 0.0686177 414032 5.0755
2.97314 0.0664231 428570 4.91317
3.00878 0.0645189 443420 4.77231
3.04485 0.0626345 460880 4.63293
3.08141 0.0608462 477608 4.50066
3.11839 0.0591328 494666 4.37392
3.15587 0.0575046 514172 4.25349
3.19377 0.0556126 531200 4.11353
3.23206 0.0540005 549944 3.99429
3.27078 0.0526804 569924 3.89665
3.31006 0.0509416 593642 3.76803
3.34977 0.0495395 610856 3.66433
3.38996 0.048058 637756 3.55474
3.43072 0.0468038 659240 3.46197
3.47187 0.0457385 681752 3.38317
3.51352 0.0442872 708404 3.27582
3.55566 0.0431851 731720 3.1943
3.59831 0.0418058 761324 3.09228
3.64146 0.0407387 785624 3.01335
3.68509 0.0398459 815932 2.94731
3.72935 0.0386854 848150 2.86147
3.77412 0.0377136 875876 2.78959
3.81939 0.0368105 909872 2.72279
3.86521 0.0357579 940708 2.64493
3.91154 0.0349501 975368 2.58518
3.95847 0.0340277 1012826 2.51695
4.00597 0.0331993 1047892 2.45568
4.05405 0.0325196 1088600 2.4054
4.10276 0.0317355 1127762 2.3474
4.15198 0.0310701 1166140 2.29819
4.20175 0.030343 1209440 2.2444
4.25218 0.0296647 1255802 2.19423
4.30322 0.029172 1298860 2.15779
