# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 2.35811e-09 12 2.35811e-09
0.0296192 1.06894e-08 24 1.06894e-08
0.036276 1.45726e-08 16 1.45726e-08
0.0418879 1.74036e-08 12 1.74036e-08
0.0468321 3.24702e-08 48 3.24702e-08
0.051302 4.62767e-08 48 4.62767e-08
0.0592384 5.03176e-08 24 5.03176e-08
0.0628319 8.37578e-08 60 8.37578e-08
0.0662306 5.20878e-08 48 5.20878e-08
0.0694632 9.72024e-08 48 9.72024e-08
0.072552 1.00493e-07 16 1.00493e-07
0.0755145 6.22972e-08 48 6.22972e-08
0.0783651 6.58764e-08 96 6.58764e-08
0.0837758 1.22495e-07 12 1.22495e-07
0.0863541 9.40627e-08 96 9.40627e-08
0.0888577 9.14974e-08 72 9.14974e-08
0.0912926 1.19804e-07 48 1.19804e-07
0.0936642 1.137e-07 48 1.137e-07
0.0959772 9.12854e-08 96 9.12854e-08
0.0982358 8.12462e-08 48 8.12462e-08
0.102604 1.97661e-07 48 1.97661e-07
0.10472 1.06671e-07 60 1.06671e-07
0.106794 1.21059e-07 144 1.21059e-07
0.108828 1.43129e-07 64 1.43129e-07
0.112787 1.94915e-07 144 1.94915e-07
0.114715 1.54016e-07 96 1.54016e-07
0.118477 1.20808e-07 24 1.20808e-07
0.120314 1.13734e-07 96 1.13734e-07
0.122123 2.0206e-07 96 2.0206e-07
0.123906 1.77595e-07 96 1.77595e-07
0.125664 2.16351e-07 60 2.16351e-07
0.127397 2.45524e-07 48 2.45524e-07
0.129107 2.10495e-07 144 2.10495e-07
0.132461 3.17556e-07 48 3.17556e-07
0.134107 2.34682e-07 192 2.34682e-07
0.135732 1.79913e-07 96 1.79913e-07
0.137339 1.75642e-07 48 1.75642e-07
0.138926 3.47206e-07 48 3.47206e-07
0.140496 2.73021e-07 144 2.73021e-07
0.142049 3.02234e-07 96 3.02234e-07
0.145104 1.47919e-07 16 1.47919e-07
0.146608 3.23254e-07 108 3.23254e-07
0.148096 2.70467e-07 168 2.70467e-07
0.14957 5.47983e-07 96 5.47983e-07
0.151029 3.75822e-07 48 3.75822e-07
0.152474 2.93455e-07 144 2.93455e-07
0.153906 2.59702e-07 192 2.59702e-07
0.15673 2.9693e-07 96 2.9693e-07
0.158123 3.13785e-07 96 3.13785e-07
0.159504 2.349e-07 48 2.349e-07
0.160874 3.68505e-07 144 3.68505e-07
0.163577 5.28523e-07 144 5.28523e-07
0.164913 3.29327e-07 192 3.29327e-07
0.167552 3.24788e-07 12 3.24788e-07
0.168856 3.57708e-07 192 3.57708e-07
0.170149 4.58866e-07 192 4.58866e-07
