# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 6.58159e-14 12 6.58159e-14
0.0296192 2.00272e-13 24 2.00272e-13
0.036276 1.77883e-14 16 1.77883e-14
0.0418879 1.03568e-12 12 1.03568e-12
0.0468321 2.58946e-12 48 2.58946e-12
0.051302 1.36146e-12 48 1.36146e-12
0.0592384 1.52369e-12 24 1.52369e-12
0.0628319 5.66971e-12 60 5.66971e-12
0.0662306 2.36915e-11 48 2.36915e-11
0.0694632 1.28275e-11 48 1.28275e-11
0.072552 3.21065e-13 16 3.21065e-13
0.0755145 1.11668e-11 48 1.11668e-11
0.0783651 8.58075e-12 96 8.58075e-12
0.0837758 5.02492e-11 12 5.02492e-11
0.0863541 1.20607e-11 96 1.20607e-11
0.0888577 2.71596e-11 72 2.71596e-11
0.0912926 1.6756e-11 48 1.6756e-11
0.0936642 2.50245e-11 48 2.50245e-11
0.0959772 4.34071e-11 96 4.34071e-11
0.0982358 5.92794e-12 48 5.92794e-12
0.102604 3.49569e-11 48 3.49569e-11
0.10472 2.20248e-11 60 2.20248e-11
0.106794 7.59368e-11 144 7.59368e-11
0.108828 9.62538e-11 64 9.62538e-11
0.112787 5.99861e-11 144 5.99861e-11
0.114715 7.93263e-11 96 7.93263e-11
0.118477 3.30128e-11 24 3.30128e-11
0.120314 5.66547e-11 96 5.66547e-11
0.122123 3.49064e-11 96 3.49064e-11
0.123906 9.83257e-11 96 9.83257e-11
0.125664 4.46291e-11 60 4.46291e-11
0.127397 1.88381e-10 48 1.88381e-10
0.129107 1.52472e-10 144 1.52472e-10
0.132461 1.81911e-10 48 1.81911e-10
0.134107 1.30713e-10 192 1.30713e-10
0.135732 9.90866e-11 96 9.90866e-11
0.137339 8.67658e-11 48 8.67658e-11
0.138926 1.51528e-10 48 1.51528e-10
0.140496 8.69982e-11 144 8.69982e-11
0.142049 1.83368e-10 96 1.83368e-10
0.145104 1.53535e-11 16 1.53535e-11
0.146608 2.45201e-10 108 2.45201e-10
0.148096 1.93728e-10 168 1.93728e-10
0.14957 2.01466e-10 96 2.01466e-10
0.151029 1.29741e-10 48 1.29741e-10
0.152474 3.62e-10 144 3.62e-10
0.153906 1.97172e-10 192 1.97172e-10
0.15673 1.31173e-10 96 1.31173e-10
0.158123 1.10132e-10 96 1.10132e-10
0.159504 2.89488e-10 48 2.89488e-10
0.160874 2.45455e-10 144 2.45455e-10
0.163577 1.21426e-10 144 1.21426e-10
0.164913 1.8427e-10 192 1.8427e-10
0.167552 2.10644e-09 12 2.10644e-09
0.168856 4.20939e-10 192 4.20939e-10
0.170149 3.25123e-10 192 3.25123e-10
0.171434 2.55698e-10 48 2.55698e-10
0.172708 3.81962e-10 96 3.81962e-10
0.173974 5.33073e-10 192 5.33073e-10
0.17523 7.73358e-11 96 7.73358e-11
0.177715 6.52225e-10 72 6.52225e-10
0.178945 4.6069e-10 96 4.6069e-10
0.180167 4.01357e-10 240 4.01357e-10
0.18138 2.62523e-10 112 2.62523e-10
0.182585 2.49716e-10 48 2.49716e-10
