# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 1.0498e-10 12 1.0498e-10
0.0296192 1.33685e-10 24 1.33685e-10
0.036276 3.1176e-10 16 3.1176e-10
0.0418879 7.01196e-10 12 7.01196e-10
0.0468321 1.75709e-09 48 1.75709e-09
0.051302 2.46096e-09 48 2.46096e-09
0.0592384 2.04696e-09 24 2.04696e-09
0.0628319 3.77632e-09 60 3.77632e-09
0.0662306 9.02672e-09 48 9.02672e-09
0.0694632 6.08904e-09 48 6.08904e-09
0.072552 1.11157e-08 16 1.11157e-08
0.0755145 1.15362e-08 48 1.15362e-08
0.0783651 1.25176e-08 96 1.25176e-08
0.0837758 6.59544e-09 12 6.59544e-09
0.0863541 1.55019e-08 96 1.55019e-08
0.0888577 1.7793e-08 72 1.7793e-08
0.0912926 2.05733e-08 48 2.05733e-08
0.0936642 2.89067e-08 48 2.89067e-08
0.0959772 3.0514e-08 96 3.0514e-08
0.0982358 1.60892e-08 48 1.60892e-08
0.102604 1.67784e-08 48 1.67784e-08
0.10472 4.08581e-08 60 4.08581e-08
0.106794 4.3333e-08 144 4.3333e-08
0.108828 7.83296e-08 64 7.83296e-08
0.112787 4.01808e-08 144 4.01808e-08
0.114715 7.21928e-08 96 7.21928e-08
0.118477 5.19846e-08 24 5.19846e-08
0.120314 4.26866e-08 96 4.26866e-08
0.122123 7.3234e-08 96 7.3234e-08
0.123906 9.85889e-08 96 9.85889e-08
0.125664 9.26262e-08 60 9.26262e-08
0.127397 1.42415e-07 48 1.42415e-07
0.129107 8.45823e-08 144 8.45823e-08
0.132461 1.35149e-07 48 1.35149e-07
0.134107 1.08085e-07 192 1.08085e-07
0.135732 1.22449e-07 96 1.22449e-07
0.137339 5.40098e-08 48 5.40098e-08
0.138926 1.5622e-07 48 1.5622e-07
0.140496 9.05739e-08 144 9.05739e-08
0.142049 1.37964e-07 96 1.37964e-07
0.145104 4.49191e-08 16 4.49191e-08
0.146608 1.41476e-07 108 1.41476e-07
0.148632 1.43372e-07 264 1.43372e-07
0.151029 1.15828e-07 48 1.15828e-07
0.152474 2.02109e-07 144 2.02109e-07
0.153906 2.16123e-07 192 2.16123e-07
0.15673 8.46099e-08 96 8.46099e-08
0.158123 1.53497e-07 96 1.53497e-07
0.160531 2.02422e-07 192 2.02422e-07
0.163577 1.57545e-07 144 1.57545e-07
0.164913 2.28695e-07 192 2.28695e-07
0.167552 3.64976e-07 12 3.64976e-07
0.169502 2.33848e-07 384 2.33848e-07
0.172283 3.16123e-07 144 3.16123e-07
0.173974 3.63521e-07 192 3.63521e-07
0.17523 2.42922e-07 96 2.42922e-07
0.178418 4.37265e-07 168 4.37265e-07
0.180167 3.08437e-07 240 3.08437e-07
0.181741 2.84502e-07 160 2.84502e-07
0.184179 3.09742e-07 288 3.09742e-07
0.187328 5.60684e-07 48 5.60684e-07
0.188867 3.63685e-07 300 3.63685e-07
0.191267 4.54412e-07 240 4.54412e-07
0.193903 4.98795e-07 336 4.98795e-07
0.196472 3.28396e-07 48 3.28396e-07
0.198088 4.59679e-07 528 4.59679e-07
0.199793 8.27387e-07 96 8.27387e-07
0.202698 5.4881e-07 288 5.4881e-07
0.205919 5.43844e-07 144 5.43844e-07
0.207757 5.59518e-07 360 5.59518e-07
0.21056 6.01845e-07 492 6.01845e-07
0.213587 7.75887e-07 144 7.75887e-07
0.215528 6.1519e-07 480 6.1519e-07
0.218352 6.52204e-07 208 6.52204e-07
0.219662 7.77781e-07 288 7.77781e-07
0.223423 7.30677e-07 480 7.30677e-07
0.22618 8.69344e-07 384 8.69344e-07
0.228278 1.02018e-06 240 1.02018e-06
0.231217 8.83504e-07 492 8.83504e-07
0.234628 1.09317e-06 576 1.09317e-06
0.237806 8.92061e-07 312 8.92061e-07
0.239714 1.07078e-06 432 1.07078e-06
0.242607 1.00306e-06 528 1.00306e-06
0.245954 1.0068e-06 528 1.0068e-06
0.248695 1.11633e-06 384 1.11633e-06
0.252641 1.22877e-06 636 1.22877e-06
0.255182 1.48819e-06 496 1.48819e-06
0.257969 1.37479e-06 672 1.37479e-06
0.260901 1.58555e-06 528 1.58555e-06
0.263594 1.33142e-06 240 1.33142e-06
0.266618 1.40645e-06 840 1.40645e-06
0.269843 1.40025e-06 528 1.40025e-06
0.273272 1.9016e-06 732 1.9016e-06
0.275985 2.07206e-06 672 2.07206e-06
