# in Mpc/h Units 
# D1 = 0.152761 
# k P N P(z=0)
0.020944 5.81147 6 249.036
0.0296192 4.71045 12 201.855
0.036276 3.89383 8 166.86
0.0418879 3.31842 6 142.202
0.0468321 2.99093 24 128.169
0.051302 2.78712 24 119.435
0.0592384 2.49122 12 106.755
0.0628319 2.41378 30 103.436
0.0662306 2.32529 24 99.6446
0.0694632 2.2183 24 95.0598
0.072552 2.12335 8 90.9908
0.0755145 2.03194 24 87.0738
0.0783651 1.91402 48 82.0205
0.0837758 1.75712 6 75.2971
0.0863541 1.62393 48 69.5896
0.0888577 1.53892 36 65.9466
0.0912926 1.45704 24 62.4377
0.0936642 1.39905 24 59.9527
0.0959772 1.33225 48 57.0904
0.0982358 1.26815 24 54.3435
0.102604 1.16606 24 49.9684
0.10472 1.10866 30 47.5088
0.106794 1.1013 72 47.1934
0.108828 1.08775 32 46.6129
0.112787 1.03628 72 44.4073
0.114715 1.01593 48 43.5351
0.118477 1.00572 12 43.0974
0.120314 0.985888 48 42.2477
0.122123 0.971006 48 41.61
0.123906 0.956394 48 40.9838
0.125664 0.939674 30 40.2673
0.127397 0.939692 24 40.2681
0.129107 0.911772 72 39.0717
0.132461 0.880436 24 37.7289
0.134107 0.866454 96 37.1297
0.135732 0.849994 48 36.4244
0.137339 0.839705 24 35.9834
0.138926 0.823044 24 35.2695
0.140496 0.792771 72 33.9722
0.142049 0.772605 48 33.108
0.145104 0.75312 8 32.2731
0.146608 0.7449 54 31.9208
0.148632 0.705334 132 30.2253
0.151029 0.677598 24 29.0367
0.152474 0.660764 72 28.3154
0.153906 0.653572 96 28.0072
0.15673 0.619774 48 26.5588
0.158123 0.608308 48 26.0675
0.160531 0.591446 96 25.3449
0.163577 0.573524 72 24.5769
0.164913 0.559934 96 23.9946
0.167552 0.525659 6 22.5258
0.169502 0.540544 192 23.1636
0.172283 0.528877 72 22.6637
0.173974 0.520178 96 22.2909
0.17523 0.514962 48 22.0674
0.178418 0.502307 84 21.5251
0.180167 0.492747 120 21.1154
0.181741 0.495152 80 21.2185
0.184179 0.481638 144 20.6394
0.187328 0.480445 24 20.5883
0.188867 0.469008 150 20.0982
0.191267 0.461835 120 19.7908
0.193903 0.451466 168 19.3464
0.196472 0.443583 24 19.0086
0.198088 0.439993 264 18.8548
0.199793 0.423752 48 18.1588
0.202698 0.418549 144 17.9359
0.205919 0.407623 72 17.4676
0.207757 0.400233 180 17.151
0.21056 0.38332 246 16.4262
0.213587 0.37056 72 15.8794
0.215528 0.369118 240 15.8176
0.218352 0.350563 104 15.0225
0.219662 0.346575 144 14.8516
0.223423 0.329323 240 14.1123
0.22618 0.327497 192 14.0341
0.228278 0.320587 120 13.738
0.231217 0.309 246 13.2414
0.234628 0.30386 288 13.0212
0.237806 0.299391 156 12.8296
0.239714 0.294328 216 12.6127
0.242607 0.289324 264 12.3983
0.245954 0.283108 264 12.1319
0.248695 0.277136 192 11.876
0.252641 0.270964 318 11.6115
0.255182 0.268567 248 11.5088
0.257969 0.264088 336 11.3168
0.260901 0.256967 264 11.0117
0.263594 0.25538 120 10.9437
0.266618 0.248484 420 10.6481
0.269843 0.241196 264 10.3358
0.273272 0.234604 366 10.0533
0.275985 0.231072 336 9.902
0.280415 0.222719 456 9.54405
0.283902 0.213128 384 9.13308
0.287082 0.209448 432 8.97536
0.291553 0.201291 296 8.62581
0.29372 0.200607 390 8.59653
0.297469 0.193924 444 8.31011
0.301416 0.189906 600 8.13794
0.304904 0.186307 408 7.9837
0.308899 0.18127 408 7.76786
0.311881 0.178474 384 7.64803
0.316099 0.173927 774 7.45322
0.320152 0.170687 432 7.31435
