# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 1.36938e-10 12 1.36938e-10
0.0296192 1.8896e-10 24 1.8896e-10
0.036276 1.63842e-10 16 1.63842e-10
0.0418879 2.93475e-09 12 2.93475e-09
0.0468321 1.02118e-09 48 1.02118e-09
0.051302 2.41259e-09 48 2.41259e-09
0.0592384 3.61305e-09 24 3.61305e-09
0.0628319 4.48863e-09 60 4.48863e-09
0.0662306 7.68625e-09 48 7.68625e-09
0.0694632 7.68041e-09 48 7.68041e-09
0.072552 2.28901e-09 16 2.28901e-09
0.0755145 1.18366e-08 48 1.18366e-08
0.0783651 6.37617e-09 96 6.37617e-09
0.0837758 5.88649e-08 12 5.88649e-08
0.0863541 3.01225e-08 96 3.01225e-08
0.0888577 1.83532e-08 72 1.83532e-08
0.0912926 1.12618e-08 48 1.12618e-08
0.0936642 1.68986e-08 48 1.68986e-08
0.0959772 2.5911e-08 96 2.5911e-08
0.0982358 1.2663e-08 48 1.2663e-08
0.102604 2.13631e-08 48 2.13631e-08
0.10472 3.70764e-08 60 3.70764e-08
0.106794 3.87472e-08 144 3.87472e-08
0.108828 5.46569e-08 64 5.46569e-08
0.112787 3.84187e-08 144 3.84187e-08
0.114715 6.66321e-08 96 6.66321e-08
0.118477 3.07167e-08 24 3.07167e-08
0.120314 6.97147e-08 96 6.97147e-08
0.122123 5.09378e-08 96 5.09378e-08
0.123906 4.38798e-08 96 4.38798e-08
0.125664 5.32246e-08 60 5.32246e-08
0.127397 9.32419e-08 48 9.32419e-08
0.129107 8.0352e-08 144 8.0352e-08
0.132461 8.21463e-08 48 8.21463e-08
0.134107 8.7708e-08 192 8.7708e-08
0.135732 1.24284e-07 96 1.24284e-07
0.137339 1.04781e-07 48 1.04781e-07
0.138926 1.5043e-07 48 1.5043e-07
0.140496 1.11876e-07 144 1.11876e-07
0.142049 2.15617e-07 96 2.15617e-07
0.145104 3.0612e-08 16 3.0612e-08
0.146608 1.179e-07 108 1.179e-07
0.148632 1.3266e-07 264 1.3266e-07
0.151029 1.31341e-07 48 1.31341e-07
0.152474 1.87607e-07 144 1.87607e-07
0.153906 1.60155e-07 192 1.60155e-07
0.15673 1.93598e-07 96 1.93598e-07
0.158123 1.49728e-07 96 1.49728e-07
0.160531 2.29159e-07 192 2.29159e-07
0.163577 2.10118e-07 144 2.10118e-07
0.164913 2.19654e-07 192 2.19654e-07
0.167552 2.07874e-07 12 2.07874e-07
0.169502 2.68272e-07 384 2.68272e-07
0.172283 2.54882e-07 144 2.54882e-07
0.173974 3.84428e-07 192 3.84428e-07
0.17523 1.30493e-07 96 1.30493e-07
0.178418 3.34176e-07 168 3.34176e-07
0.180167 2.9343e-07 240 2.9343e-07
0.181741 2.91461e-07 160 2.91461e-07
0.184179 2.80408e-07 288 2.80408e-07
0.187328 5.28423e-07 48 5.28423e-07
0.188867 4.02782e-07 300 4.02782e-07
0.191267 3.02653e-07 240 3.02653e-07
0.193903 3.87926e-07 336 3.87926e-07
0.196472 4.31404e-07 48 4.31404e-07
0.198088 4.45552e-07 528 4.45552e-07
0.199793 7.68791e-07 96 7.68791e-07
0.202698 4.68974e-07 288 4.68974e-07
0.205919 5.37388e-07 144 5.37388e-07
0.207757 5.40788e-07 360 5.40788e-07
0.21056 6.31739e-07 492 6.31739e-07
0.213587 6.98926e-07 144 6.98926e-07
0.215528 5.86093e-07 480 5.86093e-07
0.218352 6.35746e-07 208 6.35746e-07
0.219662 6.23771e-07 288 6.23771e-07
0.223423 8.4353e-07 480 8.4353e-07
0.22618 8.71194e-07 384 8.71194e-07
0.228278 8.44702e-07 240 8.44702e-07
0.231217 7.82944e-07 492 7.82944e-07
0.234628 1.00308e-06 576 1.00308e-06
0.237806 1.04527e-06 312 1.04527e-06
0.239714 9.34246e-07 432 9.34246e-07
0.242607 8.86667e-07 528 8.86667e-07
0.245954 1.21513e-06 528 1.21513e-06
0.248695 1.03945e-06 384 1.03945e-06
0.252641 1.42686e-06 636 1.42686e-06
0.255182 1.24645e-06 496 1.24645e-06
0.257969 1.23766e-06 672 1.23766e-06
0.260901 1.6512e-06 528 1.6512e-06
0.263594 1.39428e-06 240 1.39428e-06
0.266618 1.38649e-06 840 1.38649e-06
0.269843 1.54841e-06 528 1.54841e-06
0.273272 2.09158e-06 732 2.09158e-06
0.275985 1.81122e-06 672 1.81122e-06
0.280415 1.62909e-06 912 1.62909e-06
0.283902 1.89481e-06 768 1.89481e-06
0.287082 2.01015e-06 864 2.01015e-06
0.291553 2.05848e-06 592 2.05848e-06
0.29372 2.29648e-06 780 2.29648e-06
0.297469 2.80085e-06 888 2.80085e-06
0.301416 2.70713e-06 1200 2.70713e-06
0.304904 2.61484e-06 816 2.61484e-06
0.308899 2.43812e-06 816 2.43812e-06
0.311881 2.68161e-06 768 2.68161e-06
0.316099 3.13679e-06 1548 3.13679e-06
0.320152 3.63166e-06 864 3.63166e-06
0.323319 3.40223e-06 912 3.40223e-06
0.327249 3.39716e-06 1240 3.39716e-06
0.331125 3.78609e-06 1200 3.78609e-06
0.335425 3.52393e-06 1164 3.52393e-06
0.339086 4.77842e-06 1152 4.77842e-06
0.342966 3.80077e-06 1536 3.80077e-06
0.347538 4.53695e-06 1488 4.53695e-06
0.352007 4.36745e-06 1296 4.36745e-06
0.356145 5.12251e-06 1332 5.12251e-06
0.360285 5.199e-06 1920 5.199e-06
0.365066 5.57099e-06 1504 5.57099e-06
0.368573 5.4829e-06 1104 5.4829e-06
0.372864 5.85468e-06 1968 5.85468e-06
0.378105 6.21441e-06 2124 6.21441e-06
0.382338 7.96143e-06 1296 7.96143e-06
0.386795 7.06352e-06 2280 7.06352e-06
0.391574 6.77142e-06 1728 6.77142e-06
0.396297 7.421e-06 2124 7.421e-06
0.401127 8.18341e-06 1936 8.18341e-06
0.405513 8.27772e-06 2496 8.27772e-06
0.410547 9.22995e-06 1728 9.22995e-06
0.41537 8.85435e-06 2808 8.85435e-06
0.420644 9.41897e-06 2172 9.41897e-06
0.425289 9.85143e-06 2544 9.85143e-06
0.430681 9.7759e-06 2784 9.7759e-06
0.436011 1.01691e-05 2752 1.01691e-05
0.440941 1.187e-05 2220 1.187e-05
0.446174 1.21176e-05 3480 1.21176e-05
0.45185 1.22909e-05 3168 1.22909e-05
0.457529 1.39165e-05 2736 1.39165e-05
0.462665 1.36681e-05 3324 1.36681e-05
0.467842 1.42639e-05 3072 1.42639e-05
0.473473 1.41008e-05 3640 1.41008e-05
0.479577 1.63742e-05 3804 1.63742e-05
0.485197 1.73491e-05 3408 1.73491e-05
0.490809 1.85313e-05 4080 1.85313e-05
0.497084 1.82894e-05 4176 1.82894e-05
0.503027 1.87102e-05 3684 1.87102e-05
0.508843 2.01127e-05 4912 2.01127e-05
0.51514 2.07226e-05 3936 2.07226e-05
0.521205 2.16396e-05 4764 2.16396e-05
0.527271 2.38743e-05 4704 2.38743e-05
0.533802 2.40599e-05 5208 2.40599e-05
0.539882 2.59873e-05 4560 2.59873e-05
0.546709 2.80403e-05 5980 2.80403e-05
0.553468 2.94855e-05 5760 2.94855e-05
0.559954 2.864e-05 5016 2.864e-05
0.566543 3.02386e-05 6252 3.02386e-05
0.573496 3.16424e-05 6432 3.16424e-05
0.580523 3.34653e-05 6064 3.34653e-05
0.587241 3.79333e-05 6588 3.79333e-05
0.594316 3.78067e-05 7080 3.78067e-05
0.601466 3.91952e-05 6816 3.91952e-05
0.609018 4.10035e-05 8028 4.10035e-05
0.61634 4.19377e-05 7456 4.19377e-05
0.623417 4.28422e-05 7176 4.28422e-05
0.630695 4.69435e-05 8460 4.69435e-05
0.638291 5.20493e-05 8352 5.20493e-05
0.645683 5.08007e-05 8316 5.08007e-05
0.653416 5.60563e-05 9304 5.60563e-05
0.660988 5.71409e-05 9168 5.71409e-05
0.669506 5.96548e-05 10908 5.96548e-05
0.677708 6.26102e-05 9768 6.26102e-05
0.685505 6.45696e-05 10000 6.45696e-05
0.694 7.07727e-05 11868 7.07727e-05
0.702333 7.19595e-05 10752 7.19595e-05
0.710789 7.51386e-05 11796 7.51386e-05
0.719251 8.15848e-05 12432 8.15848e-05
0.727942 7.98777e-05 12208 7.98777e-05
0.736661 8.72113e-05 13236 8.72113e-05
0.745211 9.06966e-05 12960 9.06966e-05
0.754127 9.38323e-05 13836 9.38323e-05
0.762976 9.78801e-05 14608 9.78801e-05
0.772239 0.000105392 14676 0.000105392
0.781657 0.000112621 16752 0.000112621
0.791082 0.000111935 15180 0.000111935
0.800591 0.000117662 17560 0.000117662
0.810283 0.000123904 16992 0.000123904
0.820075 0.000134531 18588 0.000134531
0.829801 0.00013573 17656 0.00013573
0.839624 0.000144695 19692 0.000144695
0.849851 0.000145397 20496 0.000145397
0.860395 0.000159893 21252 0.000159893
0.870624 0.00016718 21040 0.00016718
0.880856 0.000179716 21804 0.000179716
0.8914 0.000179949 23592 0.000179949
0.902254 0.000190099 23788 0.000190099
0.912774 0.000197921 24120 0.000197921
0.923682 0.000208492 25884 0.000208492
0.934704 0.000215151 26448 0.000215151
0.946056 0.000224494 28084 0.000224494
0.957461 0.000231515 28800 0.000231515
0.969088 0.000247381 30108 0.000247381
0.980756 0.000258188 30388 0.000258188
0.992313 0.00027706 31536 0.00027706
1.00427 0.000281101 33252 0.000281101
1.0163 0.000293229 34336 0.000293229
1.02842 0.000315514 34668 0.000315514
1.04065 0.000327421 37128 0.000327421
1.05325 0.000348511 38428 0.000348511
1.06615 0.000360704 40596 0.000360704
1.07882 0.00038138 39600 0.00038138
1.09171 0.000390614 42868 0.000390614
1.10469 0.000409511 43260 0.000409511
1.1179 0.000432151 45952 0.000432151
1.13133 0.00044007 46740 0.00044007
1.14472 0.000460835 48480 0.000460835
1.15877 0.000498036 53284 0.000498036
1.17281 0.00051309 51036 0.00051309
1.18671 0.000538787 54996 0.000538787
1.20092 0.000562311 55888 0.000562311
1.21541 0.000589498 59556 0.000589498
1.23005 0.000609349 60316 0.000609349
1.24487 0.000647704 64152 0.000647704
1.25995 0.000679456 64860 0.000679456
1.27496 0.000698909 67204 0.000698909
1.29008 0.000737343 69168 0.000737343
1.30561 0.000778543 73684 0.000778543
1.32148 0.000808261 76140 0.000808261
1.33731 0.000840658 76804 0.000840658
1.35304 0.000863722 79200 0.000863722
1.36931 0.000915409 85572 0.000915409
1.38597 0.000953775 87508 0.000953775
1.40251 0.00100174 88380 0.00100174
1.41927 0.00105165 94084 0.00105165
1.43629 0.00108115 96000 0.00108115
1.45349 0.0011461 100420 0.0011461
1.47092 0.00121595 103356 0.00121595
1.48857 0.00125461 108100 0.00125461
1.50651 0.0013067 112020 0.0013067
1.5246 0.001379 115564 0.001379
1.54296 0.00144093 120612 0.00144093
1.5614 0.00148315 122488 0.00148315
1.57996 0.00156121 128172 0.00156121
1.59904 0.00163339 135412 0.00163339
1.61841 0.00171813 138972 0.00171813
1.63786 0.0017939 142852 0.0017939
1.65727 0.00189536 145764 0.00189536
1.67716 0.00194501 156460 0.00194501
1.69752 0.00204638 160756 0.00204638
1.71789 0.00213798 164484 0.00213798
1.73855 0.00224948 173092 0.00224948
1.75938 0.00232095 175500 0.00232095
1.78034 0.00244849 183844 0.00244849
1.80163 0.0025608 189780 0.0025608
1.82321 0.00267512 198124 0.00267512
1.84528 0.00280127 207796 0.00280127
1.86742 0.0029341 210180 0.0029341
1.88971 0.00305416 219748 0.00305416
1.91235 0.00320055 228220 0.00320055
1.93516 0.00333888 233700 0.00333888
1.95828 0.0035079 245344 0.0035079
1.98195 0.00368183 257748 0.00368183
2.00592 0.00384602 263428 0.00384602
2.02983 0.00397295 269644 0.00397295
2.05418 0.00417597 285732 0.00417597
2.07887 0.00437668 291028 0.00437668
2.10372 0.00459079 303760 0.00459079
2.12915 0.00481529 319492 0.00481529
2.15486 0.0050318 325716 0.0050318
2.18054 0.00528189 334948 0.00528189
2.20649 0.00548923 348220 0.00548923
2.23302 0.00576095 366672 0.00576095
2.25999 0.00606996 378292 0.00606996
2.28711 0.00638333 388708 0.00638333
2.31452 0.00662219 404992 0.00662219
2.3423 0.00698189 419508 0.00698189
2.37031 0.00729711 431236 0.00729711
2.39862 0.0076646 449200 0.0076646
2.42748 0.00806732 470740 0.00806732
2.45668 0.00840606 481588 0.00840606
2.48608 0.00884129 501120 0.00884129
2.5159 0.0093026 519748 0.0093026
2.54615 0.00981914 540448 0.00981914
2.57673 0.0103188 557140 0.0103188
2.60767 0.0108353 580432 0.0108353
2.63893 0.0113802 596740 0.0113802
2.67053 0.0119762 621856 0.0119762
2.70255 0.0125881 643044 0.0125881
2.73501 0.0133444 669280 0.0133444
2.76784 0.0140268 690604 0.0140268
2.80103 0.0148621 717472 0.0148621
2.83468 0.0156031 744640 0.0156031
2.86869 0.0164173 768772 0.0164173
2.90306 0.017412 797152 0.017412
2.93788 0.0184026 828064 0.0184026
2.97314 0.0194859 857140 0.0194859
3.00878 0.0206514 886840 0.0206514
3.04485 0.0219629 921760 0.0219629
3.08141 0.0232835 955216 0.0232835
3.11839 0.0247605 989332 0.0247605
3.15587 0.0262398 1028344 0.0262398
3.19377 0.0280255 1062400 0.0280255
3.23206 0.029864 1099888 0.029864
3.27078 0.0318229 1139848 0.0318229
3.31006 0.0340804 1187284 0.0340804
3.34977 0.0366554 1221712 0.0366554
3.38996 0.0392533 1275512 0.0392533
3.43072 0.0419136 1318480 0.0419136
3.47187 0.0452518 1363504 0.0452518
3.51352 0.0486973 1416808 0.0486973
3.55566 0.0528467 1463440 0.0528467
3.59831 0.0569029 1522648 0.0569029
3.64146 0.0618132 1571248 0.0618132
3.68509 0.0671397 1631864 0.0671397
3.72935 0.0731609 1696300 0.0731609
3.77412 0.0801611 1751752 0.0801611
3.81939 0.0878368 1819744 0.0878368
3.86521 0.0968191 1881416 0.0968191
3.91154 0.106586 1950736 0.106586
3.95847 0.117745 2025652 0.117745
4.00597 0.130963 2095784 0.130963
4.05405 0.146153 2177200 0.146153
4.10276 0.163107 2255524 0.163107
4.15198 0.183033 2332280 0.183033
4.20175 0.205646 2418880 0.205646
4.25218 0.231793 2511604 0.231793
4.30322 0.262179 2597720 0.262179
4.35482 0.298151 2694220 0.298151
4.40705 0.339351 2790248 0.339351
4.45993 0.385446 2897332 0.385446
4.51349 0.438856 3002072 0.438856
4.56763 0.499651 3104884 0.499651
4.6224 0.567653 3222620 0.567653
4.67785 0.645372 3338488 0.645372
4.73396 0.728665 3459572 0.728665
4.79079 0.822093 3593044 0.822093
4.84827 0.929387 3712952 0.929387
4.90642 1.04259 3856100 1.04259
4.96533 1.15745 3996580 1.15745
5.02487 1.28934 4131572 1.28934
5.0851 1.4126 4290116 1.4126
5.14613 1.55382 4448596 1.55382
5.20788 1.68688 4606868 1.68688
5.27036 1.8267 4776404 1.8267
5.33364 1.96561 4957198 1.96561
5.39744 1.99654 5017400 1.99654
5.46211 1.96157 5020760 1.96157
5.52769 1.93291 5024576 1.93291
5.59404 1.92239 4994552 1.92239
5.66113 1.91509 4981072 1.91509
5.72904 1.91484 4952864 1.91484
5.79779 1.91308 4928072 1.91308
5.86736 1.91706 4883144 1.91706
5.93771 1.92194 4840328 1.92194
6.00892 1.92704 4789256 1.92704
6.08102 1.92764 4737248 1.92764
6.15399 1.93271 4664408 1.93271
6.2278 1.9325 4593056 1.9325
6.30252 1.93822 4510904 1.93822
6.37813 1.93458 4416728 1.93458
6.45461 1.93528 4313744 1.93528
6.53204 1.93981 4209024 1.93981
6.6104 1.94116 4079096 1.94116
6.68969 1.94707 3953912 1.94707
6.76993 1.95018 3801536 1.95018
6.85111 1.96131 3650240 1.96131
6.93325 1.97049 3474384 1.97049
7.01639 1.98306 3298880 1.98306
7.10058 2.00246 3098024 2.00246
7.18569 2.0246 2883480 2.0246
7.27174 2.04135 2653880 2.04135
7.35886 2.0672 2415528 2.0672
7.44702 2.07233 2150312 2.07233
7.53611 2.0637 1871328 2.0637
7.62659 2.01724 1603046 2.01724
7.71818 2.01706 1384644 2.01706
7.81076 2.03075 1198724 2.03075
7.90447 2.06429 1032600 2.06429
7.99927 2.11559 882152 2.11559
8.09511 2.18212 745596 2.18212
8.19203 2.26728 622884 2.26728
8.2901 2.36368 511700 2.36368
8.3894 2.48759 412392 2.48759
8.49004 2.64309 323640 2.64309
8.59152 2.82707 242724 2.82707
8.69409 3.04445 177216 3.04445
8.79786 3.35656 118584 3.35656
8.90093 3.68709 71652 3.68709
9.00404 4.02206 38504 4.02206
9.10719 4.60167 14628 4.60167
9.20136 4.97759 2316 4.97759
9.28665 1.83032 2 1.83032
