# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 1.31974e-11 12 1.31974e-11
0.0296192 5.6355e-11 24 5.6355e-11
0.036276 1.18844e-11 16 1.18844e-11
0.0418879 2.03129e-09 12 2.03129e-09
0.0468321 5.71381e-10 48 5.71381e-10
0.051302 7.47736e-10 48 7.47736e-10
0.0592384 1.75687e-09 24 1.75687e-09
0.0628319 2.13746e-09 60 2.13746e-09
0.0662306 4.87936e-09 48 4.87936e-09
0.0694632 4.48341e-09 48 4.48341e-09
0.072552 4.01243e-10 16 4.01243e-10
0.0755145 6.58417e-09 48 6.58417e-09
0.0783651 3.53423e-09 96 3.53423e-09
0.0837758 1.18699e-08 12 1.18699e-08
0.0863541 7.51873e-09 96 7.51873e-09
0.0888577 1.3664e-08 72 1.3664e-08
0.0912926 4.14377e-09 48 4.14377e-09
0.0936642 1.48306e-08 48 1.48306e-08
0.0959772 1.54067e-08 96 1.54067e-08
0.0982358 3.75882e-09 48 3.75882e-09
0.102604 8.95537e-09 48 8.95537e-09
0.10472 1.90428e-08 60 1.90428e-08
0.106794 2.60625e-08 144 2.60625e-08
0.108828 4.98412e-08 64 4.98412e-08
0.112787 1.70194e-08 144 1.70194e-08
0.114715 3.15888e-08 96 3.15888e-08
0.118477 2.21066e-08 24 2.21066e-08
0.120314 2.37606e-08 96 2.37606e-08
0.122123 2.67364e-08 96 2.67364e-08
0.123906 2.83371e-08 96 2.83371e-08
0.125664 2.90846e-08 60 2.90846e-08
0.127397 7.49644e-08 48 7.49644e-08
0.129107 4.56143e-08 144 4.56143e-08
0.132461 7.05079e-08 48 7.05079e-08
0.134107 5.29189e-08 192 5.29189e-08
0.135732 3.56883e-08 96 3.56883e-08
0.137339 2.22683e-08 48 2.22683e-08
0.138926 1.09411e-07 48 1.09411e-07
0.140496 4.0643e-08 144 4.0643e-08
0.142049 9.46907e-08 96 9.46907e-08
0.145104 3.55611e-09 16 3.55611e-09
0.146608 9.25082e-08 108 9.25082e-08
0.148632 7.95665e-08 264 7.95665e-08
0.151029 8.44471e-08 48 8.44471e-08
0.152474 8.74615e-08 144 8.74615e-08
0.153906 9.30957e-08 192 9.30957e-08
0.15673 4.93708e-08 96 4.93708e-08
0.158123 1.31658e-07 96 1.31658e-07
0.160531 1.35371e-07 192 1.35371e-07
0.163577 7.73997e-08 144 7.73997e-08
0.164913 1.09202e-07 192 1.09202e-07
0.167552 2.23943e-07 12 2.23943e-07
0.169502 1.75839e-07 384 1.75839e-07
0.172283 1.40559e-07 144 1.40559e-07
0.173974 1.70634e-07 192 1.70634e-07
0.17523 4.74425e-08 96 4.74425e-08
0.178418 1.8134e-07 168 1.8134e-07
0.180167 2.00051e-07 240 2.00051e-07
0.181741 1.0746e-07 160 1.0746e-07
0.184179 1.49686e-07 288 1.49686e-07
0.187328 2.17241e-07 48 2.17241e-07
0.188867 2.62734e-07 300 2.62734e-07
0.191267 2.04928e-07 240 2.04928e-07
0.193903 2.33232e-07 336 2.33232e-07
0.196472 6.4929e-08 48 6.4929e-08
