# in Mpc/h Units 
# D1 = 0.066996 
# k P N P(z=0)
0.020944 110.899 6 24707.6
0.0296192 91.1311 12 20303.4
0.036276 75.1852 8 16750.7
0.0418879 64.5986 6 14392.1
0.0468321 57.8202 24 12881.9
0.051302 54.1072 24 12054.7
0.0592384 47.9313 12 10678.8
0.0628319 46.7167 30 10408.2
0.0662306 45.1555 24 10060.3
0.0694632 42.9185 24 9561.95
0.072552 40.8511 8 9101.34
0.0755145 39.2745 24 8750.09
0.0783651 37.0157 48 8246.84
0.0837758 34.4541 6 7676.14
0.0863541 31.3996 48 6995.61
0.0888577 29.7363 36 6625.05
0.0912926 28.2302 24 6289.49
0.0936642 27.2357 24 6067.92
0.0959772 26.0422 48 5802.01
0.0982358 24.5909 24 5478.68
0.102604 22.2382 24 4954.51
0.10472 21.2888 30 4743
0.106794 21.2144 72 4726.42
0.108828 21.2704 32 4738.89
0.112787 19.8583 72 4424.29
0.114715 19.5418 48 4353.79
0.118477 19.3488 12 4310.78
0.120314 19.0473 48 4243.6
0.122123 18.8098 48 4190.69
0.123906 18.5804 48 4139.59
0.125664 18.0395 30 4019.08
0.127397 18.4697 24 4114.91
0.129107 17.7089 72 3945.41
0.132461 17.0416 24 3796.76
0.134107 16.7673 96 3735.64
0.135732 16.4711 48 3669.65
0.137339 16.3928 24 3652.2
0.138926 16.06 24 3578.05
0.140496 15.2327 72 3393.74
0.142049 14.8339 48 3304.89
0.145104 15.4951 8 3452.2
0.146608 14.5018 54 3230.89
0.148632 13.6648 132 3044.41
0.151029 13.1053 24 2919.77
0.152474 12.7338 72 2837
0.153906 12.7553 96 2841.8
0.15673 12.0047 48 2674.56
0.158123 11.5843 48 2580.89
0.160531 11.4713 96 2555.72
0.163577 11.1799 72 2490.8
0.164913 10.8052 96 2407.33
0.167552 10.958 6 2441.37
0.169502 10.548 192 2350.01
0.172283 10.3304 72 2301.55
0.173974 10.1332 96 2257.62
0.17523 10.0175 48 2231.83
0.178418 9.77188 84 2177.11
0.180167 9.45639 120 2106.82
0.181741 9.7115 80 2163.66
0.184179 9.27824 144 2067.13
0.187328 9.48203 24 2112.53
0.188867 9.04802 150 2015.84
0.191267 8.83828 120 1969.11
0.193903 8.74583 168 1948.51
0.196472 8.632 24 1923.15
0.198088 8.52692 264 1899.74
0.199793 8.1911 48 1824.92
0.202698 8.10697 144 1806.18
0.205919 7.93292 72 1767.4
0.207757 7.89202 180 1758.29
0.21056 7.48314 246 1667.19
0.213587 7.2143 72 1607.3
0.215528 7.2324 240 1611.33
