# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 6.44318e-11 12 6.44318e-11
0.0296192 1.57041e-10 24 1.57041e-10
0.036276 5.27712e-10 16 5.27712e-10
0.0418879 1.11886e-09 12 1.11886e-09
0.0468321 1.1836e-09 48 1.1836e-09
0.051302 1.42291e-09 48 1.42291e-09
0.0592384 3.10776e-09 24 3.10776e-09
0.0628319 3.26736e-09 60 3.26736e-09
0.0662306 1.18942e-08 48 1.18942e-08
0.0694632 7.28281e-09 48 7.28281e-09
0.072552 4.4932e-09 16 4.4932e-09
0.0755145 7.88943e-09 48 7.88943e-09
0.0783651 9.52488e-09 96 9.52488e-09
0.0837758 3.12578e-08 12 3.12578e-08
0.0863541 1.65605e-08 96 1.65605e-08
0.0888577 1.2811e-08 72 1.2811e-08
0.0912926 1.39066e-08 48 1.39066e-08
0.0936642 2.13916e-08 48 2.13916e-08
0.0959772 2.8355e-08 96 2.8355e-08
0.0982358 1.89233e-08 48 1.89233e-08
0.102604 2.86751e-08 48 2.86751e-08
0.10472 3.97594e-08 60 3.97594e-08
0.106794 4.38634e-08 144 4.38634e-08
0.108828 6.86444e-08 64 6.86444e-08
0.112787 4.37481e-08 144 4.37481e-08
0.114715 8.28365e-08 96 8.28365e-08
0.118477 4.44336e-08 24 4.44336e-08
0.120314 5.69824e-08 96 5.69824e-08
0.122123 8.12431e-08 96 8.12431e-08
0.123906 6.38598e-08 96 6.38598e-08
0.125664 9.2049e-08 60 9.2049e-08
0.127397 1.15658e-07 48 1.15658e-07
0.129107 8.83307e-08 144 8.83307e-08
0.132461 1.58352e-07 48 1.58352e-07
0.134107 1.10883e-07 192 1.10883e-07
0.135732 9.32629e-08 96 9.32629e-08
0.137339 9.12019e-08 48 9.12019e-08
0.138926 1.80623e-07 48 1.80623e-07
0.140496 1.43056e-07 144 1.43056e-07
0.142049 1.65833e-07 96 1.65833e-07
0.145104 4.94202e-08 16 4.94202e-08
0.146608 1.34633e-07 108 1.34633e-07
0.148632 1.68942e-07 264 1.68942e-07
0.151029 1.43212e-07 48 1.43212e-07
0.152474 2.11055e-07 144 2.11055e-07
0.153906 1.81182e-07 192 1.81182e-07
0.15673 1.78469e-07 96 1.78469e-07
0.158123 1.78162e-07 96 1.78162e-07
0.160531 2.61956e-07 192 2.61956e-07
0.163577 2.14609e-07 144 2.14609e-07
0.164913 2.78803e-07 192 2.78803e-07
