# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.020944 2.65638e-11 12 2.65638e-11
0.0296192 5.22611e-11 24 5.22611e-11
0.036276 1.89516e-12 16 1.89516e-12
0.0418879 5.23185e-10 12 5.23185e-10
0.0468321 1.97475e-10 48 1.97475e-10
0.051302 2.78113e-10 48 2.78113e-10
0.0592384 2.21933e-10 24 2.21933e-10
0.0628319 3.91325e-10 60 3.91325e-10
0.0662306 1.03172e-09 48 1.03172e-09
0.0694632 1.49583e-09 48 1.49583e-09
0.072552 1.15627e-10 16 1.15627e-10
0.0755145 1.11117e-09 48 1.11117e-09
0.0783651 8.30233e-10 96 8.30233e-10
0.0837758 3.48003e-09 12 3.48003e-09
0.0863541 4.35446e-09 96 4.35446e-09
0.0888577 6.76699e-09 72 6.76699e-09
0.0912926 1.54821e-09 48 1.54821e-09
0.0936642 3.65571e-09 48 3.65571e-09
0.0959772 4.74992e-09 96 4.74992e-09
0.0982358 1.12068e-09 48 1.12068e-09
0.102604 6.72427e-09 48 6.72427e-09
0.10472 3.80471e-09 60 3.80471e-09
0.106794 7.89387e-09 144 7.89387e-09
0.108828 8.36927e-09 64 8.36927e-09
0.112787 6.78551e-09 144 6.78551e-09
0.114715 1.17018e-08 96 1.17018e-08
0.118477 3.35335e-09 24 3.35335e-09
0.120314 6.01918e-09 96 6.01918e-09
0.122123 5.39479e-09 96 5.39479e-09
0.123906 1.21883e-08 96 1.21883e-08
0.125664 1.75369e-08 60 1.75369e-08
0.127397 2.88814e-08 48 2.88814e-08
0.129107 1.11256e-08 144 1.11256e-08
0.132461 2.8209e-08 48 2.8209e-08
0.134107 1.77557e-08 192 1.77557e-08
0.135732 9.16635e-09 96 9.16635e-09
0.137339 9.60044e-09 48 9.60044e-09
0.138926 2.04542e-08 48 2.04542e-08
0.140496 1.47615e-08 144 1.47615e-08
0.142049 2.0808e-08 96 2.0808e-08
0.145104 1.25795e-09 16 1.25795e-09
0.146608 1.17345e-08 108 1.17345e-08
0.148632 2.8977e-08 264 2.8977e-08
0.151029 1.69084e-08 48 1.69084e-08
0.152474 3.55854e-08 144 3.55854e-08
0.153906 3.60095e-08 192 3.60095e-08
0.15673 1.52775e-08 96 1.52775e-08
0.158123 2.07996e-08 96 2.07996e-08
0.160531 3.59261e-08 192 3.59261e-08
0.163577 1.59461e-08 144 1.59461e-08
0.164913 4.08077e-08 192 4.08077e-08
0.167552 1.21903e-07 12 1.21903e-07
0.169502 4.12944e-08 384 4.12944e-08
0.172283 4.18906e-08 144 4.18906e-08
0.173974 6.70105e-08 192 6.70105e-08
0.17523 1.25887e-08 96 1.25887e-08
0.178418 5.10858e-08 168 5.10858e-08
0.180167 5.47135e-08 240 5.47135e-08
0.181741 3.48764e-08 160 3.48764e-08
0.184179 4.72352e-08 288 4.72352e-08
0.187328 5.89025e-08 48 5.89025e-08
0.188867 6.51197e-08 300 6.51197e-08
0.191267 7.17315e-08 240 7.17315e-08
0.193903 8.37335e-08 336 8.37335e-08
0.196472 2.13818e-08 48 2.13818e-08
0.198088 7.28855e-08 528 7.28855e-08
0.199793 1.18047e-07 96 1.18047e-07
0.202698 8.23631e-08 288 8.23631e-08
0.205919 8.00051e-08 144 8.00051e-08
0.207757 8.66212e-08 360 8.66212e-08
0.21056 1.09249e-07 492 1.09249e-07
0.213587 8.9735e-08 144 8.9735e-08
0.215528 1.26746e-07 480 1.26746e-07
0.218352 1.1624e-07 208 1.1624e-07
0.219662 1.15861e-07 288 1.15861e-07
0.223423 8.9494e-08 480 8.9494e-08
0.22618 1.16241e-07 384 1.16241e-07
0.228278 1.92102e-07 240 1.92102e-07
0.231217 1.21507e-07 492 1.21507e-07
0.234628 1.88037e-07 576 1.88037e-07
0.237806 1.45923e-07 312 1.45923e-07
0.239714 1.7794e-07 432 1.7794e-07
0.242607 1.18778e-07 528 1.18778e-07
0.245954 1.61565e-07 528 1.61565e-07
0.248695 1.59955e-07 384 1.59955e-07
0.252641 1.89849e-07 636 1.89849e-07
0.255182 2.03884e-07 496 2.03884e-07
0.257969 2.15762e-07 672 2.15762e-07
0.260901 2.4545e-07 528 2.4545e-07
0.263594 2.3721e-07 240 2.3721e-07
0.266618 2.29303e-07 840 2.29303e-07
0.269843 1.89957e-07 528 1.89957e-07
0.273272 2.97863e-07 732 2.97863e-07
0.275985 3.69994e-07 672 3.69994e-07
0.280415 2.91015e-07 912 2.91015e-07
0.283902 2.65838e-07 768 2.65838e-07
0.287082 2.85422e-07 864 2.85422e-07
0.291553 2.46603e-07 592 2.46603e-07
0.29372 3.77778e-07 780 3.77778e-07
0.297469 3.77095e-07 888 3.77095e-07
0.301416 3.88397e-07 1200 3.88397e-07
0.304904 3.88032e-07 816 3.88032e-07
0.308899 3.73311e-07 816 3.73311e-07
0.311881 4.44729e-07 768 4.44729e-07
0.316099 4.65894e-07 1548 4.65894e-07
0.320152 5.39687e-07 864 5.39687e-07
0.323319 4.45266e-07 912 4.45266e-07
0.327249 5.86907e-07 1240 5.86907e-07
0.331125 4.49409e-07 1200 4.49409e-07
0.335425 5.20816e-07 1164 5.20816e-07
0.339086 7.80689e-07 1152 7.80689e-07
0.342966 6.23699e-07 1536 6.23699e-07
0.347538 6.71799e-07 1488 6.71799e-07
0.352007 5.90539e-07 1296 5.90539e-07
0.356145 8.06415e-07 1332 8.06415e-07
0.360285 8.85308e-07 1920 8.85308e-07
0.365066 7.6826e-07 1504 7.6826e-07
0.368573 8.16325e-07 1104 8.16325e-07
0.372864 9.05894e-07 1968 9.05894e-07
0.378105 1.02262e-06 2124 1.02262e-06
0.382338 1.08616e-06 1296 1.08616e-06
0.386795 1.07465e-06 2280 1.07465e-06
0.391574 1.01877e-06 1728 1.01877e-06
0.396297 1.09787e-06 2124 1.09787e-06
0.401127 1.2028e-06 1936 1.2028e-06
0.405513 1.18888e-06 2496 1.18888e-06
0.410547 1.22651e-06 1728 1.22651e-06
0.41537 1.29423e-06 2808 1.29423e-06
0.420644 1.4093e-06 2172 1.4093e-06
0.425289 1.49929e-06 2544 1.49929e-06
0.430681 1.50131e-06 2784 1.50131e-06
0.436011 1.50713e-06 2752 1.50713e-06
0.440941 1.7411e-06 2220 1.7411e-06
0.446174 1.83506e-06 3480 1.83506e-06
0.45185 1.79861e-06 3168 1.79861e-06
0.457529 1.85484e-06 2736 1.85484e-06
0.462665 2.01785e-06 3324 2.01785e-06
0.467842 2.21692e-06 3072 2.21692e-06
0.473473 1.95665e-06 3640 1.95665e-06
0.479577 2.17481e-06 3804 2.17481e-06
0.485197 2.50245e-06 3408 2.50245e-06
0.490809 2.51649e-06 4080 2.51649e-06
0.497084 2.39518e-06 4176 2.39518e-06
0.503027 2.9258e-06 3684 2.9258e-06
0.508843 2.972e-06 4912 2.972e-06
0.51514 2.77298e-06 3936 2.77298e-06
0.521205 2.76367e-06 4764 2.76367e-06
0.527271 3.34196e-06 4704 3.34196e-06
0.533802 3.42271e-06 5208 3.42271e-06
0.539882 3.28261e-06 4560 3.28261e-06
0.546709 3.65686e-06 5980 3.65686e-06
0.553468 3.88154e-06 5760 3.88154e-06
0.559954 3.58772e-06 5016 3.58772e-06
0.566543 4.24515e-06 6252 4.24515e-06
0.573496 4.38465e-06 6432 4.38465e-06
0.580523 4.30879e-06 6064 4.30879e-06
0.587241 4.77013e-06 6588 4.77013e-06
0.594316 4.83106e-06 7080 4.83106e-06
0.601466 4.93077e-06 6816 4.93077e-06
0.609018 5.02008e-06 8028 5.02008e-06
0.61634 5.40471e-06 7456 5.40471e-06
0.623417 5.47607e-06 7176 5.47607e-06
0.630695 5.82852e-06 8460 5.82852e-06
0.638291 5.7002e-06 8352 5.7002e-06
0.645683 5.85843e-06 8316 5.85843e-06
0.653416 6.38122e-06 9304 6.38122e-06
0.660988 6.47115e-06 9168 6.47115e-06
0.669506 6.7089e-06 10908 6.7089e-06
0.677708 6.88968e-06 9768 6.88968e-06
0.685505 7.54327e-06 10000 7.54327e-06
0.694 7.63868e-06 11868 7.63868e-06
0.702333 7.86412e-06 10752 7.86412e-06
0.710789 8.24701e-06 11796 8.24701e-06
0.719251 8.09909e-06 12432 8.09909e-06
0.727942 8.5364e-06 12208 8.5364e-06
0.736661 9.00625e-06 13236 9.00625e-06
0.745211 9.74173e-06 12960 9.74173e-06
0.754127 9.36385e-06 13836 9.36385e-06
0.762976 9.70624e-06 14608 9.70624e-06
0.772239 1.00091e-05 14676 1.00091e-05
0.781657 1.05816e-05 16752 1.05816e-05
0.791082 1.08392e-05 15180 1.08392e-05
0.800591 1.1756e-05 17560 1.1756e-05
0.810283 1.1608e-05 16992 1.1608e-05
0.820075 1.18089e-05 18588 1.18089e-05
0.829801 1.21784e-05 17656 1.21784e-05
0.839624 1.23863e-05 19692 1.23863e-05
0.849851 1.30162e-05 20496 1.30162e-05
0.860395 1.30612e-05 21252 1.30612e-05
0.870624 1.34446e-05 21040 1.34446e-05
0.880856 1.41646e-05 21804 1.41646e-05
0.8914 1.47801e-05 23592 1.47801e-05
0.902254 1.46396e-05 23788 1.46396e-05
0.912774 1.52014e-05 24120 1.52014e-05
0.923682 1.56243e-05 25884 1.56243e-05
0.934704 1.60678e-05 26448 1.60678e-05
0.946056 1.64137e-05 28084 1.64137e-05
0.957461 1.62659e-05 28800 1.62659e-05
0.969088 1.74718e-05 30108 1.74718e-05
0.980756 1.74086e-05 30388 1.74086e-05
0.992313 1.80033e-05 31536 1.80033e-05
1.00427 1.85246e-05 33252 1.85246e-05
1.0163 1.87188e-05 34336 1.87188e-05
1.02842 1.9575e-05 34668 1.9575e-05
1.04065 1.98962e-05 37128 1.98962e-05
1.05325 2.07649e-05 38428 2.07649e-05
1.06615 2.01944e-05 40596 2.01944e-05
1.07882 2.09479e-05 39600 2.09479e-05
1.09171 2.11876e-05 42868 2.11876e-05
1.10469 2.20817e-05 43260 2.20817e-05
1.1179 2.27162e-05 45952 2.27162e-05
1.13133 2.33903e-05 46740 2.33903e-05
1.14472 2.38201e-05 48480 2.38201e-05
1.15877 2.44415e-05 53284 2.44415e-05
1.17281 2.51093e-05 51036 2.51093e-05
1.18671 2.49897e-05 54996 2.49897e-05
1.20092 2.6267e-05 55888 2.6267e-05
1.21541 2.64293e-05 59556 2.64293e-05
1.23005 2.6755e-05 60316 2.6755e-05
1.24487 2.7874e-05 64152 2.7874e-05
1.25995 2.88191e-05 64860 2.88191e-05
1.27496 2.92851e-05 67204 2.92851e-05
1.29008 3.00614e-05 69168 3.00614e-05
1.30561 3.05113e-05 73684 3.05113e-05
1.32148 3.13203e-05 76140 3.13203e-05
1.33731 3.25219e-05 76804 3.25219e-05
1.35304 3.26463e-05 79200 3.26463e-05
1.36931 3.36273e-05 85572 3.36273e-05
1.38597 3.5483e-05 87508 3.5483e-05
1.40251 3.62773e-05 88380 3.62773e-05
1.41927 3.72095e-05 94084 3.72095e-05
1.43629 3.8266e-05 96000 3.8266e-05
1.45349 3.92823e-05 100420 3.92823e-05
1.47092 4.04023e-05 103356 4.04023e-05
1.48857 4.13006e-05 108100 4.13006e-05
1.50651 4.32026e-05 112020 4.32026e-05
1.5246 4.40532e-05 115564 4.40532e-05
1.54296 4.57474e-05 120612 4.57474e-05
1.5614 4.70041e-05 122488 4.70041e-05
1.57996 4.8504e-05 128172 4.8504e-05
1.59904 4.98249e-05 135412 4.98249e-05
1.61841 5.17542e-05 138972 5.17542e-05
1.63786 5.37707e-05 142852 5.37707e-05
1.65727 5.49711e-05 145764 5.49711e-05
1.67716 5.69128e-05 156460 5.69128e-05
1.69752 5.90133e-05 160756 5.90133e-05
1.71789 6.18253e-05 164484 6.18253e-05
1.73855 6.38297e-05 173092 6.38297e-05
1.75938 6.62903e-05 175500 6.62903e-05
1.78034 6.88363e-05 183844 6.88363e-05
1.80163 7.14888e-05 189780 7.14888e-05
1.82321 7.39203e-05 198124 7.39203e-05
1.84528 7.65735e-05 207796 7.65735e-05
1.86742 7.91965e-05 210180 7.91965e-05
1.88971 8.28366e-05 219748 8.28366e-05
1.91235 8.6162e-05 228220 8.6162e-05
1.93516 8.90323e-05 233700 8.90323e-05
1.95828 9.24751e-05 245344 9.24751e-05
1.98195 9.59341e-05 257748 9.59341e-05
2.00592 0.000100871 263428 0.000100871
2.02983 0.000103907 269644 0.000103907
2.05418 0.000108613 285732 0.000108613
2.07887 0.000112952 291028 0.000112952
2.10372 0.000117751 303760 0.000117751
2.12915 0.00012356 319492 0.00012356
2.15486 0.000128714 325716 0.000128714
2.18054 0.000133619 334948 0.000133619
2.20649 0.00013888 348220 0.00013888
2.23302 0.000145454 366672 0.000145454
2.25999 0.000151838 378292 0.000151838
2.28711 0.000159438 388708 0.000159438
2.31452 0.000165067 404992 0.000165067
2.3423 0.000173106 419508 0.000173106
2.37031 0.000181287 431236 0.000181287
2.39862 0.000189901 449200 0.000189901
2.42748 0.000198538 470740 0.000198538
2.45668 0.000206782 481588 0.000206782
2.48608 0.000216935 501120 0.000216935
2.5159 0.000226595 519748 0.000226595
2.54615 0.000238085 540448 0.000238085
2.57673 0.000249986 557140 0.000249986
2.60767 0.000261444 580432 0.000261444
2.63893 0.000276407 596740 0.000276407
2.67053 0.000288052 621856 0.000288052
2.70255 0.000302682 643044 0.000302682
2.73501 0.000320102 669280 0.000320102
2.76784 0.000334597 690604 0.000334597
2.80103 0.000350572 717472 0.000350572
2.83468 0.000370212 744640 0.000370212
2.86869 0.000391056 768772 0.000391056
2.90306 0.000411126 797152 0.000411126
2.93788 0.000432877 828064 0.000432877
2.97314 0.000457321 857140 0.000457321
3.00878 0.000483282 886840 0.000483282
3.04485 0.000510881 921760 0.000510881
3.08141 0.000540018 955216 0.000540018
3.11839 0.0005718 989332 0.0005718
3.15587 0.000605503 1028344 0.000605503
3.19377 0.000641683 1062400 0.000641683
3.23206 0.000681578 1099888 0.000681578
3.27078 0.000725582 1139848 0.000725582
3.31006 0.000769977 1187284 0.000769977
3.34977 0.000820378 1221712 0.000820378
3.38996 0.000872812 1275512 0.000872812
3.43072 0.00093301 1318480 0.00093301
3.47187 0.000997346 1363504 0.000997346
3.51352 0.00106841 1416808 0.00106841
3.55566 0.00114541 1463440 0.00114541
3.59831 0.00122788 1522648 0.00122788
3.64146 0.00132262 1571248 0.00132262
3.68509 0.00142515 1631864 0.00142515
3.72935 0.00153132 1696300 0.00153132
3.77412 0.00166357 1751752 0.00166357
3.81939 0.00179151 1819744 0.00179151
3.86521 0.00194956 1881416 0.00194956
3.91154 0.00211469 1950736 0.00211469
3.95847 0.00230894 2025652 0.00230894
4.00597 0.00252437 2095784 0.00252437
4.05405 0.00276314 2177200 0.00276314
4.10276 0.00302414 2255524 0.00302414
4.15198 0.00332575 2332280 0.00332575
4.20175 0.00367156 2418880 0.00367156
4.25218 0.00406848 2511604 0.00406848
4.30322 0.00451775 2597720 0.00451775
4.35482 0.00503501 2694220 0.00503501
4.40705 0.00563635 2790248 0.00563635
4.45993 0.00633489 2897332 0.00633489
4.51349 0.00714286 3002072 0.00714286
4.56763 0.00808261 3104884 0.00808261
4.6224 0.009132 3222620 0.009132
4.67785 0.0104098 3338488 0.0104098
4.73396 0.0117984 3459572 0.0117984
4.79079 0.0134187 3593044 0.0134187
4.84827 0.015386 3712952 0.015386
4.90642 0.0175295 3856100 0.0175295
4.96533 0.0201133 3996580 0.0201133
5.02487 0.0228883 4131572 0.0228883
5.0851 0.026118 4290116 0.026118
5.14613 0.0294281 4448596 0.0294281
5.20788 0.0332631 4606868 0.0332631
5.27036 0.0369976 4776404 0.0369976
5.33364 38.2142 4957198 38.2142
5.39744 0.041548 5017400 0.041548
5.46211 0.0402572 5020760 0.0402572
5.52769 0.0397654 5024576 0.0397654
5.59404 0.0400758 4994552 0.0400758
5.66113 0.0407361 4981072 0.0407361
