# in Mpc/h Units 
# D1 = 0.122251 
# k P N P(z=0)
0.020944 3.72076 6 248.96
0.0296192 3.01806 12 201.942
0.036276 2.50039 8 167.304
0.0418879 2.03365 6 136.074
0.0468321 1.9255 24 128.837
0.051302 1.78286 24 119.293
0.0592384 1.60861 12 107.633
0.0628319 1.56118 30 104.46
0.0662306 1.4849 24 99.3562
0.0694632 1.42593 24 95.4102
0.072552 1.35697 8 90.7966
0.0755145 1.30187 24 87.1093
0.0783651 1.22785 48 82.1571
0.0837758 1.13919 6 76.2241
0.0863541 1.04868 48 70.1683
0.0888577 0.988064 36 66.1124
0.0912926 0.930661 24 62.2715
0.0936642 0.887864 24 59.4079
0.0959772 0.850166 48 56.8855
0.0982358 0.811025 24 54.2665
0.102604 0.747721 24 50.0308
0.10472 0.710267 30 47.5247
0.106794 0.705795 72 47.2255
0.108828 0.697134 32 46.646
0.112787 0.663848 72 44.4188
0.114715 0.658916 48 44.0888
0.118477 0.637059 12 42.6263
0.120314 0.629805 48 42.1409
0.122123 0.61848 48 41.3831
0.123906 0.611758 48 40.9334
0.125664 0.605884 30 40.5404
0.127397 0.602478 24 40.3124
0.129107 0.586702 72 39.2569
0.132461 0.571359 24 38.2303
0.134107 0.555679 96 37.1811
0.135732 0.545593 48 36.5062
0.137339 0.535987 24 35.8635
0.138926 0.523582 24 35.0334
0.140496 0.511931 72 34.2538
0.142049 0.499522 48 33.4236
0.145104 0.48645 8 32.5489
0.146608 0.478336 54 32.0059
0.148632 0.452822 132 30.2988
0.151029 0.436379 24 29.1986
0.152474 0.424913 72 28.4314
0.153906 0.418647 96 28.0121
0.15673 0.399779 48 26.7497
0.158123 0.391489 48 26.1949
0.160531 0.381315 96 25.5142
0.163577 0.364275 72 24.3741
0.164913 0.359359 96 24.0451
0.167552 0.407364 6 27.2571
0.169502 0.342898 192 22.9437
0.172283 0.335153 72 22.4255
0.173974 0.331903 96 22.208
0.17523 0.328189 48 21.9595
0.178418 0.322667 84 21.59
0.180167 0.317399 120 21.2375
0.181741 0.316112 80 21.1514
0.184179 0.310308 144 20.763
0.187328 0.304539 24 20.377
0.188867 0.300514 150 20.1077
0.191267 0.296955 120 19.8696
0.193903 0.290958 168 19.4683
0.196472 0.287215 24 19.2179
0.198088 0.281614 264 18.8431
0.199793 0.275262 48 18.4181
0.202698 0.267922 144 17.927
0.205919 0.261221 72 17.4786
0.207757 0.253811 180 16.9828
0.21056 0.245482 246 16.4255
0.213587 0.237343 72 15.8809
0.215528 0.23486 240 15.7147
0.218352 0.224649 104 15.0315
0.219662 0.22092 144 14.782
0.223423 0.212543 240 14.2215
0.22618 0.207907 192 13.9113
0.228278 0.204737 120 13.6992
0.231217 0.197095 246 13.1879
0.234628 0.194611 288 13.0216
0.237806 0.190405 156 12.7402
0.239714 0.187417 216 12.5403
0.242607 0.184481 264 12.3438
0.245954 0.181301 264 12.1311
0.248695 0.17797 192 11.9082
0.252641 0.173822 318 11.6306
0.255182 0.171775 248 11.4937
0.257969 0.168308 336 11.2616
0.260901 0.165251 264 11.0571
0.263594 0.16241 120 10.8671
0.266618 0.157656 420 10.549
0.269843 0.154037 264 10.3068
0.273272 0.149438 366 9.99904
0.275985 0.146596 336 9.80887
0.280415 0.141286 456 9.45358
0.283902 0.136547 384 9.13648
0.287082 0.132999 432 8.89911
0.291553 0.12805 296 8.56794
0.29372 0.12695 390 8.49438
0.297469 0.123922 444 8.29173
0.301416 0.120518 600 8.06398
0.304904 0.118474 408 7.92724
0.308899 0.115033 408 7.697
0.311881 0.114153 384 7.63807
0.316099 0.11127 774 7.44523
0.320152 0.109166 432 7.30442
0.323319 0.106944 456 7.15577
0.327249 0.103989 620 6.95802
0.331125 0.10081 600 6.7453
0.335425 0.100033 582 6.6933
0.339086 0.0971381 576 6.49961
0.342966 0.0940103 768 6.29033
0.347538 0.0917863 744 6.14152
0.352007 0.0890437 648 5.95801
0.356145 0.0876791 666 5.8667
0.360285 0.0845422 960 5.65681
0.365066 0.0819012 752 5.48009
0.368573 0.080457 552 5.38346
0.372864 0.0791975 984 5.29919
0.378105 0.0778575 1062 5.20953
0.382338 0.0758511 648 5.07528
0.386795 0.0738148 1140 4.93903
0.391574 0.0714028 864 4.77764
0.396297 0.071327 1062 4.77256
0.401127 0.0681252 968 4.55833
0.405513 0.066123 1248 4.42436
0.410547 0.0647553 864 4.33284
0.41537 0.0626911 1404 4.19473
0.420644 0.0623069 1086 4.16902
0.425289 0.0595907 1272 3.98728
0.430681 0.0580209 1392 3.88224
0.436011 0.0568489 1376 3.80382
0.440941 0.0569579 1110 3.81111
0.446174 0.05426 1740 3.63059
0.45185 0.052489 1584 3.51209
0.457529 0.051394 1368 3.43883
0.462665 0.0518915 1662 3.47212
0.467842 0.0488256 1536 3.26697
0.473473 0.0472992 1820 3.16484
0.479577 0.0462321 1902 3.09344
0.485197 0.0451592 1704 3.02165
0.490809 0.0440315 2040 2.9462
0.497084 0.0425686 2088 2.84831
0.503027 0.041745 1842 2.79321
0.508843 0.0403368 2456 2.69898
0.51514 0.0388948 1968 2.60249
0.521205 0.0384371 2382 2.57187
0.527271 0.0374961 2352 2.5089
0.533802 0.0368134 2604 2.46322
0.539882 0.0356783 2280 2.38728
0.546709 0.0410811 2990 2.74878
0.553468 0.033615 2880 2.24922
0.559954 0.0327044 2508 2.18829
0.566543 0.0325429 3126 2.17748
0.573496 0.0314222 3216 2.10249
0.580523 0.0302499 3032 2.02405
0.587241 0.0297456 3294 1.99031
0.594316 0.0287584 3540 1.92425
0.601466 0.0279588 3408 1.87075
0.609018 0.0273517 4014 1.83013
0.61634 0.0267537 3728 1.79012
0.623417 0.0259197 3588 1.73432
0.630695 0.0255388 4230 1.70883
0.638291 0.0245498 4176 1.64266
0.645683 0.0242622 4158 1.62341
0.653416 0.023445 4652 1.56873
0.660988 0.0228834 4584 1.53115
0.669506 0.0224369 5454 1.50128
0.677708 0.021888 4884 1.46455
0.685505 0.0209566 5000 1.40223
0.694 0.0208079 5934 1.39228
0.702333 0.0201072 5376 1.34539
0.710789 0.0198996 5898 1.3315
0.719251 0.0191695 6216 1.28265
0.727942 0.0187362 6104 1.25366
0.736661 0.0187789 6618 1.25651
0.745211 0.0178101 6480 1.19169
0.754127 0.0179406 6918 1.20042
0.762976 0.0170803 7304 1.14286
0.772239 0.0170841 7338 1.14312
0.781657 0.0168151 8376 1.12511
