# in Mpc/h Units 
# D1 = 0.0406223 
# k P N P(z=0)
0.020944 40.8004 6 24725
0.0296192 33.5213 12 20313.9
0.036276 27.6814 8 16774.9
0.0418879 23.7984 6 14421.8
0.0468321 21.304 24 12910.2
0.051302 19.8569 24 12033.2
0.0592384 17.7137 12 10734.5
0.0628319 17.1708 30 10405.5
0.0662306 16.5608 24 10035.8
0.0694632 15.8051 24 9577.86
0.072552 15.0721 8 9133.65
0.0755145 14.4283 24 8743.51
0.0783651 13.6364 48 8263.66
0.0837758 12.5368 6 7597.29
0.0863541 11.564 48 7007.74
0.0888577 10.9505 36 6635.98
0.0912926 10.3814 24 6291.11
0.0936642 9.96973 24 6041.64
0.0959772 9.50045 48 5757.26
0.0982358 9.03518 24 5475.31
0.102604 8.25868 24 5004.75
0.10472 7.92003 30 4799.53
0.106794 7.8344 72 4747.64
0.108828 7.76354 32 4704.69
0.112787 7.35196 72 4455.28
0.114715 7.23015 48 4381.46
0.118477 7.09797 12 4301.36
0.120314 7.02211 48 4255.39
0.122123 6.92176 48 4194.58
0.123906 6.82836 48 4137.98
0.125664 6.66244 30 4037.43
0.127397 6.76028 24 4096.72
0.129107 6.51592 72 3948.64
0.132461 6.29306 24 3813.59
0.134107 6.17936 96 3744.69
0.135732 6.06534 48 3675.59
0.137339 6.0158 24 3645.56
0.138926 5.90064 24 3575.78
0.140496 5.64134 72 3418.65
0.142049 5.49553 48 3330.28
0.145104 5.57684 8 3379.56
0.146608 5.29587 54 3209.29
0.148632 5.04223 132 3055.58
0.151029 4.83501 24 2930.01
0.152474 4.69559 72 2845.52
0.153906 4.68446 96 2838.77
0.15673 4.41954 48 2678.23
0.158123 4.29258 48 2601.3
0.160531 4.22212 96 2558.6
0.163577 4.10031 72 2484.78
0.164913 3.99932 96 2423.58
0.167552 3.99484 6 2420.87
0.169502 3.86259 192 2340.73
0.172283 3.78913 72 2296.2
0.173974 3.72571 96 2257.78
0.17523 3.67778 48 2228.73
0.178418 3.58652 84 2173.43
0.180167 3.50512 120 2124.1
0.181741 3.55107 80 2151.95
0.184179 3.43817 144 2083.52
0.187328 3.45622 24 2094.46
0.188867 3.34358 150 2026.21
0.191267 3.2833 120 1989.68
0.193903 3.22573 168 1954.79
0.196472 3.17088 24 1921.55
0.198088 3.14408 264 1905.31
0.199793 3.03523 48 1839.35
0.202698 2.9893 144 1811.51
0.205919 2.91676 72 1767.55
0.207757 2.88322 180 1747.23
0.21056 2.75554 246 1669.85
0.213587 2.65835 72 1610.96
0.215528 2.64285 240 1601.57
0.218352 2.49943 104 1514.65
0.219662 2.48604 144 1506.54
0.223423 2.34345 240 1420.13
0.22618 2.34411 192 1420.53
0.228278 2.27829 120 1380.64
0.231217 2.21656 246 1343.23
0.234628 2.17596 288 1318.63
0.237806 2.15024 156 1303.04
0.239714 2.10614 216 1276.32
0.242607 2.07826 264 1259.42
0.245954 2.03495 264 1233.18
0.248695 1.97915 192 1199.36
0.252641 1.93359 318 1171.75
0.255182 1.9094 248 1157.1
0.257969 1.89071 336 1145.77
0.260901 1.844 264 1117.46
0.263594 1.84884 120 1120.4
0.266618 1.7796 420 1078.43
0.269843 1.73872 264 1053.66
0.273272 1.67581 366 1015.54
0.275985 1.64555 336 997.201
0.280415 1.60372 456 971.854
0.283902 1.52469 384 923.96
0.287082 1.49927 432 908.557
0.291553 1.44222 296 873.98
0.29372 1.43341 390 868.642
0.297469 1.38822 444 841.257
0.301416 1.37133 600 831.022
0.304904 1.33708 408 810.271
0.308899 1.29232 408 783.147
0.311881 1.27862 384 774.843
0.316099 1.25496 774 760.504
0.320152 1.22926 432 744.933
0.323319 1.19561 456 724.536
0.327249 1.18346 620 717.175
0.331125 1.14367 600 693.06
0.335425 1.1064 582 670.48
0.339086 1.09414 576 663.045
0.342966 1.05895 768 641.721
0.347538 1.04713 744 634.561
0.352007 1.00724 648 610.388
0.356145 0.960014 666 581.767
0.360285 0.948154 960 574.58
0.365066 0.916081 752 555.144
